,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,27.97,23.257,25.222,25.635,25.447,24.843,24.843,25.166,25.5,24.849,24.905,24.993,25.028,24.898,24.739,25.036,24.892,25.287,25.099,25.105
1,-58.717,-56.484,-57.433,-57.418,-57.289,-56.748,-56.748,-57.06,-57.42,-56.692,-56.828,-56.917,-56.926,-56.823,-56.673,-56.923,-56.823,-57.176,-57.011,-57.007
2,-2.0662,-1.9657,-2.0659,-2.0268,-1.9819,-1.9593,-1.9593,-1.9518,-1.9698,-1.9769,-1.9611,-1.9943,-1.9612,-1.9598,-1.9395,-1.9905,-1.9646,-1.9907,-1.9817,-1.9836
3,-0.01241,-0.011577,-0.012422,-0.012188,-0.011587,-0.011683,-0.011683,-0.011696,-0.01171,-0.011824,-0.011723,-0.011905,-0.011754,-0.011772,-0.011483,-0.011829,-0.011661,-0.011932,-0.011861,-0.011852
4,-0.00011119,-0.0001032,-0.00011096,-0.00010865,-0.00010449,-0.00010291,-0.00010291,-0.00010561,-0.00010348,-0.00010563,-0.00010516,-0.00010609,-0.00010539,-0.00010501,-0.00010234,-0.00010586,-0.00010451,-0.00010645,-0.00010641,-0.00010592
5,0.11473,0.12045,0.11437,0.11582,0.11464,0.11796,0.11796,0.11702,0.11813,0.1151,0.11672,0.11525,0.11677,0.11646,0.11687,0.11687,0.1171,0.11703,0.11691,0.11695
6,0.086407,0.086578,0.084476,0.085627,0.084564,0.086045,0.086045,0.085764,0.086719,0.084828,0.085375,0.08491,0.085517,0.085584,0.085725,0.08584,0.085988,0.085935,0.085786,0.08591
7,-5.9565e-05,-3.4217e-05,-6.4433e-05,-5.7614e-05,-5.8242e-05,-4.0604e-05,-4.0604e-05,-4.8444e-05,-5.1231e-05,-5.5967e-05,-4.7846e-05,-5.5205e-05,-5.1673e-05,-5.4843e-05,-5.2e-05,-5.3719e-05,-5.3759e-05,-5.2874e-05,-5.2213e-05,-5.3434e-05
8,2.4504e-06,-2.1315e-07,1.4633e-07,-1.1734e-07,-4.9253e-07,-7.4634e-07,-7.4634e-07,-1.1106e-06,3.2561e-07,-3.2943e-07,-7.5275e-07,-1.0963e-06,-5.9278e-07,-5.1775e-07,-5.5197e-07,-4.299e-07,-5.0188e-07,-3.8213e-07,-8.0985e-07,-3.7861e-07
9,3.1051e-06,,,,,,,,,,,,,,,,,,,
