,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,647.56,648.58,645.31,639.13,640.08,642.44,639.13,639.13,640.36,643.8,640.18,640.18,640.03,640.18,642.14,642.88,640.62,641.33,640.38,641.09
1,-590.81,-592.38,-591.3,-585.57,-585.98,-589.33,-585.52,-585.52,-586.48,-589.31,-586.49,-586.49,-586.38,-586.99,-588.04,-588.72,-587.0,-587.57,-586.89,-587.31
2,-90.458,-90.025,-87.994,-87.453,-87.948,-86.951,-87.468,-87.468,-87.68,-88.251,-87.492,-87.492,-87.436,-87.015,-87.863,-87.927,-87.407,-87.544,-87.308,-87.567
3,-2.6732,-3.1156,-2.82,-2.8639,-2.8886,-2.8828,-2.8486,-2.8486,-2.877,-2.9152,-2.8667,-2.8667,-2.8773,-2.8309,-2.8893,-2.8955,-2.8771,-2.8765,-2.8468,-2.8742
4,-0.007484,-0.0094727,-0.0085904,-0.0087093,-0.0090104,-0.0088319,-0.0085224,-0.0085224,-0.0086567,-0.0088932,-0.0088085,-0.0088085,-0.008794,-0.0085194,-0.0088071,-0.0088569,-0.0087766,-0.0087805,-0.0085792,-0.0087317
5,3.9017,4.1012,4.1799,4.2758,4.303,4.2395,4.2437,4.2437,4.2497,4.2436,4.2323,4.2323,4.2462,4.2441,4.2447,4.2349,4.2507,4.2489,4.2494,4.2531
6,2.5611,2.5044,2.5689,2.5672,2.5255,2.6259,2.5897,2.5897,2.5686,2.5723,2.5928,2.5928,2.5769,2.5739,2.5767,2.5862,2.5722,2.5746,2.574,2.5683
7,0.055275,0.072624,0.071834,0.083654,0.081651,0.079995,0.075524,0.075524,0.078094,0.077296,0.075233,0.075233,0.075871,0.076344,0.077918,0.077184,0.078861,0.078798,0.077944,0.077932
8,0.025481,0.015726,0.01636,0.012301,0.013242,0.013801,0.01553,0.01553,0.014616,0.01496,0.015928,0.015928,0.015506,0.015292,0.014674,0.015097,0.01431,0.014306,0.014655,0.014655
9,2.1589e-05,-6.2738e-05,-4.9525e-05,-6.3457e-05,-5.758e-05,-6.3729e-05,-5.9736e-05,-5.9736e-05,-7.0752e-05,-7.868e-05,-8.5568e-05,-8.5568e-05,-7.2636e-05,-8.5249e-05,-7.8541e-05,-7.0596e-05,-8.3105e-05,-8.9905e-05,-8.222e-05,-8.8634e-05
10,1.7119e-05,-2.081e-05,-2.5906e-05,-5.5128e-05,-3.0179e-05,-2.7508e-05,-2.266e-05,-2.266e-05,-1.8883e-05,-1.3703e-05,-4.8107e-06,-4.8107e-06,-1.5385e-05,-5.4201e-06,-1.3022e-05,-2.0168e-05,-1.0051e-05,-2.7684e-06,-8.0048e-06,-2.9881e-06
11,-6.8026e-07,-4.2262e-07,8.5598e-06,1.3567e-05,-2.0283e-07,-2.483e-06,-1.8798e-06,-1.8798e-06,-2.5101e-07,3.3336e-06,,,-9.0919e-08,,2.5565e-06,2.7876e-06,2.7694e-06,,,
12,,,,-2.0838e-07,,,,,,,,,,,,,,,,
