,0,1,2,3,4,5,6,7,8,9
0,290.23,292.18,290.05,290.47,290.65,291.4,291.26,290.92,291.05,291.13
1,-271.35,-273.11,-271.27,-271.68,-271.84,-272.48,-272.29,-272.02,-272.15,-272.23
2,-36.607,-36.795,-36.53,-36.537,-36.549,-36.661,-36.705,-36.64,-36.634,-36.636
3,-0.60613,-0.61053,-0.59121,-0.59354,-0.59538,-0.59521,-0.59785,-0.59607,-0.59667,-0.59783
4,-0.00067751,-0.00068225,-0.00064854,-0.00065381,-0.00066048,-0.00065769,-0.00065939,-0.00065709,-0.00065862,-0.00066092
5,2.0337,2.0699,2.0806,2.0843,2.0797,2.0821,2.0828,2.0839,2.0831,2.0832
6,1.3558,1.3383,1.3236,1.3225,1.3247,1.323,1.3214,1.3206,1.3213,1.3213
7,0.039137,0.04087,0.044221,0.044638,0.044564,0.044068,0.044055,0.04436,0.044395,0.044256
8,0.0086501,0.0077681,0.0064305,0.0062086,0.0062238,0.0063531,0.0063955,0.0062428,0.0062672,0.0062934
9,5.0689e-06,4.7322e-06,-1.5195e-05,-1.4971e-05,-1.2424e-05,-7.7247e-06,-1.1175e-05,-1.0155e-05,-1.1936e-05,-9.7707e-06
10,,,1.9787e-06,1.8485e-06,1.8319e-06,1.5359e-06,1.5454e-06,2.9395e-06,3.4352e-06,2.9622e-06
