,0,1,2,3,4,5,6,7,8,9
0,291.06,292.9,293.86,291.36,290.45,292.02,289.79,290.74,290.76,291.18
1,-271.99,-273.61,-274.22,-272.15,-271.74,-272.94,-271.26,-271.97,-271.99,-272.25
2,-36.55,-37.02,-37.354,-36.929,-36.446,-36.802,-36.272,-36.513,-36.512,-36.665
3,-0.60987,-0.60033,-0.62126,-0.60888,-0.59301,-0.60583,-0.58416,-0.59167,-0.59124,-0.59805
4,-0.00067008,-0.00065595,-0.00069646,-0.00067257,-0.00065027,-0.00068045,-0.000637,-0.00064797,-0.00064931,-0.00065969
5,1.8864,2.0942,2.1062,2.0778,2.0678,2.0812,2.0842,2.083,2.0792,2.0819
6,1.519,1.3433,1.2914,1.3157,1.3299,1.324,1.3194,1.3202,1.3258,1.3238
7,0.033248,0.053919,0.047657,0.041653,0.042904,0.044174,0.044289,0.044752,0.044717,0.044234
8,0.011927,0.0023211,0.0049031,0.0072831,0.0069796,0.0062861,0.0063243,0.0061404,0.0061271,0.006271
9,-1.177e-05,-2.0676e-05,-1.5788e-05,5.2063e-06,-1.2717e-05,-7.4326e-06,-1.4727e-05,-1.5507e-05,-1.0373e-05,-7.8465e-06
10,4.7006e-05,-1.6898e-05,2.5238e-06,,2.5998e-06,6.9205e-07,3.5186e-06,1.7676e-06,1.3054e-06,1.4146e-06
11,7.3432e-06,6.7743e-06,,,,,,,,
