,0,1,2,3,4,5,6
0,469.71,470.52,471.55,471.34,470.81,471.01,470.92
1,-427.66,-430.01,-430.5,-430.6,-430.17,-430.5,-430.4
2,-67.288,-66.186,-66.741,-66.443,-66.353,-66.245,-66.248
3,-1.8317,-1.7885,-1.7968,-1.7847,-1.7794,-1.7643,-1.7694
4,-0.0044115,-0.0041194,-0.0041805,-0.0041392,-0.0041164,-0.0040461,-0.0040555
5,3.2408,3.182,3.1345,3.1305,3.1444,3.147,3.1456
6,1.8225,1.9138,1.9723,1.9727,1.964,1.9646,1.9668
7,0.064902,0.067616,0.058328,0.059583,0.061094,0.062049,0.061785
8,0.0089956,0.0073613,0.011614,0.011174,0.010434,0.0099663,0.010105
9,-3.5279e-05,-6.4972e-05,-2.7282e-05,-4.722e-05,-4.6224e-05,-4.6851e-05,-4.6792e-05
10,-1.585e-05,2.1734e-06,1.8984e-06,4.2584e-06,1.3878e-06,9.3305e-07,2.383e-06
11,7.6971e-06,,,,,,
