,0,1,2,3,4,5,6
0,468.14,472.4,470.49,471.25,470.84,470.86,471.57
1,-429.54,-431.61,-430.17,-430.52,-430.47,-430.39,-430.89
2,-64.371,-66.497,-66.066,-66.441,-66.099,-66.199,-66.392
3,-1.6601,-1.7999,-1.757,-1.7865,-1.7642,-1.7724,-1.7846
4,-0.0036719,-0.0042244,-0.0040399,-0.0041466,-0.0040496,-0.0040719,-0.0041249
5,3.1742,3.1277,3.1437,3.142,3.1458,3.1482,3.1474
6,1.9586,1.9887,1.9704,1.9693,1.9652,1.9632,1.964
7,0.067618,0.056766,0.061876,0.061671,0.061076,0.061407,0.061359
8,0.0080367,0.012393,0.010055,0.010163,0.010385,0.010219,0.010253
9,-4.4732e-05,-2.51e-05,-4.7615e-05,-4.6581e-05,-4.1703e-05,-4.3265e-05,-4.2643e-05
10,-1.858e-05,1.9684e-06,1.2365e-06,1.2423e-06,9.7651e-07,5.7773e-07,1.9861e-06
11,4.625e-06,,,,,,
