,0,1,2,3,4,5,6
0,466.49,464.17,470.93,472.15,469.93,472.56,471.0
1,-427.91,-424.97,-430.41,-430.98,-429.47,-431.67,-430.47
2,-64.295,-64.919,-66.262,-66.834,-66.201,-66.583,-66.253
3,-1.6992,-1.7666,-1.7535,-1.826,-1.7551,-1.794,-1.7792
4,-0.0038523,-0.004159,-0.0039975,-0.0043157,-0.0039856,-0.0041712,-0.004109
5,3.2079,3.1632,3.1133,3.124,3.1405,3.1473,3.1452
6,1.9437,1.9991,2.0036,1.9769,1.9665,1.9621,1.9669
7,0.092719,0.074126,0.055524,0.05962,0.060723,0.061966,0.061865
8,0.0016374,0.0045794,0.012984,0.011174,0.010574,0.010042,0.01004
9,4.7226e-05,-9.9043e-05,-3.8027e-05,-4.7018e-05,-4.2742e-05,-5.3418e-05,-4.795e-05
10,-3.79e-05,-4.8751e-05,6.2447e-06,2.6136e-06,1.4459e-06,4.6247e-06,1.9986e-06
11,3.7218e-07,1.3167e-05,,,,,
12,,-4.9427e-06,,,,,
