,0,1,2,3,4
0,640.32,640.65,641.42,641.37,641.45
1,-587.19,-586.93,-587.53,-587.52,-587.62
2,-86.972,-87.502,-87.667,-87.635,-87.607
3,-2.8108,-2.8768,-2.8771,-2.8742,-2.8776
4,-0.0083111,-0.0087633,-0.0087515,-0.0087392,-0.0087589
5,4.1492,4.2458,4.2428,4.2493,4.2502
6,2.6378,2.5716,2.5752,2.5681,2.5677
7,0.069285,0.077555,0.078147,0.077276,0.077863
8,0.018743,0.014914,0.014583,0.014911,0.014668
9,-6.9166e-05,-9.0397e-05,-8.8978e-05,-9.0294e-05,-9.2536e-05
10,-1.7117e-05,-3.5044e-06,-4.2229e-06,-2.3761e-06,4.5581e-07
11,7.1328e-07,,,,
