,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,495.31,477.05,477.74,478.82,459.57,465.31,475.65,475.65,469.21,471.49,470.17,470.17,471.38,471.89,472.75,473.02,469.09,469.78,471.11,471.65,471.26,471.54,471.82,471.47,470.75,471.61,471.97,470.29,470.09,469.98,470.07,470.07,470.79,470.13,471.24,469.94
1,-453.24,-434.97,-434.87,-434.08,-421.35,-425.84,-434.06,-434.06,-428.84,-430.9,-430.12,-430.12,-430.93,-430.56,-431.61,-432.02,-429.11,-429.41,-430.56,-430.67,-430.75,-430.85,-431.06,-430.87,-430.43,-430.99,-431.22,-429.91,-429.77,-429.75,-429.62,-429.62,-430.37,-429.87,-430.68,-429.65
2,-71.495,-67.916,-68.446,-70.284,-64.025,-65.282,-67.295,-67.295,-66.141,-66.308,-65.833,-65.833,-66.163,-66.975,-66.837,-66.698,-65.74,-66.104,-66.279,-66.669,-66.239,-66.411,-66.459,-66.309,-66.063,-66.336,-66.467,-66.105,-66.059,-65.964,-66.175,-66.175,-66.149,-65.991,-66.284,-66.025
3,-1.9021,-1.883,-1.9558,-2.0391,-1.6927,-1.7507,-1.8181,-1.8181,-1.723,-1.7782,-1.7227,-1.7227,-1.7866,-1.8416,-1.7962,-1.7997,-1.74,-1.7679,-1.7716,-1.8001,-1.7659,-1.7821,-1.7879,-1.785,-1.7564,-1.7795,-1.7789,-1.7741,-1.7626,-1.7618,-1.7724,-1.7724,-1.762,-1.7609,-1.7734,-1.7615
4,-0.004705,-0.0043158,-0.0048849,-0.0051321,-0.0040792,-0.0040546,-0.0041825,-0.0041825,-0.0038818,-0.0041595,-0.0038943,-0.0038943,-0.0041369,-0.0043812,-0.004172,-0.0041847,-0.003974,-0.0040816,-0.0040843,-0.0041741,-0.004044,-0.0041047,-0.0041471,-0.004128,-0.004015,-0.004103,-0.004096,-0.0040907,-0.0040449,-0.0040482,-0.0040768,-0.0040768,-0.0040398,-0.0040413,-0.0040762,-0.0040434
5,3.6499,3.176,3.1836,3.1112,3.1701,3.1733,3.1341,3.1341,3.1481,3.1366,3.1499,3.1499,3.1436,3.1241,3.1349,3.1632,3.1504,3.1441,3.1435,3.1425,3.1529,3.1534,3.1444,3.1371,3.1461,3.147,3.1451,3.1456,3.1463,3.1438,3.1469,3.1469,3.1475,3.148,3.1483,3.1508
6,1.5108,1.9338,1.9191,1.9842,1.9197,1.9643,1.9868,1.9868,1.9508,1.9803,1.9713,1.9713,1.9724,1.9768,1.972,1.9451,1.9613,1.9675,1.9687,1.9711,1.9589,1.9651,1.9613,1.9736,1.9655,1.9657,1.965,1.9654,1.9644,1.9679,1.9647,1.9647,1.9637,1.9634,1.963,1.9626
7,0.07402,0.059683,0.061368,0.061967,0.058571,0.063114,0.059747,0.059747,0.060611,0.060926,0.060192,0.060192,0.060523,0.059666,0.058309,0.062834,0.0617,0.061536,0.061713,0.060475,0.062879,0.061511,0.060266,0.060647,0.062042,0.061513,0.061512,0.061083,0.061659,0.06125,0.062031,0.062031,0.061411,0.062313,0.061392,0.062036
8,0.0044293,0.010422,0.010787,0.0095889,0.011566,0.0096303,0.010857,0.010857,0.010579,0.010594,0.010825,0.010825,0.01075,0.011166,0.011618,0.0096127,0.010022,0.010155,0.010164,0.010675,0.0095599,0.010159,0.010737,0.010587,0.0099981,0.010201,0.010234,0.010381,0.010139,0.010324,0.0099722,0.0099722,0.010229,0.0098513,0.010244,0.0099256
9,1.4345e-05,-4.7391e-05,-4.9533e-05,-5.5934e-05,-5.2207e-05,-4.7661e-05,-3.2222e-05,-3.2222e-05,-4.1626e-05,-5.4462e-05,-4.0858e-05,-4.0858e-05,-5.0356e-05,-4.6991e-05,-2.5205e-05,-5.4765e-05,-4.3307e-05,-4.2669e-05,-4.698e-05,-4.1351e-05,-5.3514e-05,-4.1816e-05,-3.9751e-05,-4.0389e-05,-5.1115e-05,-4.3274e-05,-4.7361e-05,-4.3107e-05,-4.6722e-05,-4.2453e-05,-4.6863e-05,-4.6863e-05,-4.3751e-05,-4.736e-05,-4.3429e-05,-4.4289e-05
10,-3.2643e-05,-8.0115e-06,1.9525e-06,-4.2016e-06,-1.4239e-06,-1.3547e-05,2.1823e-06,2.1823e-06,4.0879e-06,4.2736e-06,2.657e-06,2.657e-06,3.8771e-06,2.346e-06,1.1014e-07,1.7257e-06,3.8094e-07,1.5532e-06,9.3427e-07,2.5877e-06,4.0204e-06,3.2043e-07,1.3357e-06,1.8405e-06,3.4847e-06,7.1344e-07,1.7257e-06,1.9548e-06,1.2408e-06,2.5568e-06,8.6055e-07,8.6055e-07,2.6218e-06,8.9962e-07,7.8725e-07,3.6961e-07
11,4.1578e-06,,,,,4.3009e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
