,0,1,2,3,4,5,6,7,8,9
0,158.73,156.77,158.27,158.18,157.96,157.95,158.12,157.94,157.88,157.95
1,-160.18,-158.66,-159.99,-159.94,-159.7,-159.72,-159.85,-159.71,-159.64,-159.73
2,-9.3105,-8.9667,-9.0933,-9.0771,-9.0801,-9.0557,-9.0987,-9.0607,-9.0666,-9.0488
3,-0.031749,-0.030837,-0.031744,-0.03141,-0.031562,-0.031178,-0.031466,-0.031293,-0.031367,-0.031289
4,-5.7242e-06,-5.6621e-06,-5.812e-06,-5.6556e-06,-5.7072e-06,-5.6003e-06,-5.6788e-06,-5.6426e-06,-5.6677e-06,-5.6535e-06
5,0.45933,0.5043,0.47394,0.49397,0.47975,0.48796,0.484,0.4865,0.48566,0.48566
6,0.01171,0.011147,0.010914,0.011391,0.011085,0.011124,0.01135,0.011046,0.011309,0.011059
7,0.0047723,0.0049771,0.0048213,0.0049316,0.0048296,0.0048836,0.0048906,0.0048677,0.0048878,0.0048693
8,6.5079e-06,-1.5906e-05,-1.0093e-05,-2.2721e-06,-9.2137e-06,-5.6397e-06,-4.9728e-06,-7.2549e-06,-6.1604e-06,-7.2905e-06
9,,6.4267e-07,-1.1769e-06,,,,,,,
