,0,1,2,3,4,5,6,7,8,9
0,10.832,8.8844,9.4728,8.8881,9.0842,9.186,9.0112,9.0871,9.139,9.1119
1,-29.914,-28.075,-28.617,-28.069,-28.222,-28.352,-28.171,-28.239,-28.293,-28.269
2,-1.5417,-1.4097,-1.4748,-1.4555,-1.492,-1.4654,-1.4742,-1.4802,-1.4786,-1.4758
3,-0.0036604,-0.0033453,-0.0032921,-0.003331,-0.0035802,-0.0034297,-0.0034583,-0.0035113,-0.00351,-0.0034551
4,-1.4332e-07,-1.2156e-07,-1.1899e-07,-1.2336e-07,-1.3223e-07,-1.2245e-07,-1.2672e-07,-1.2872e-07,-1.2923e-07,-1.2464e-07
5,2.7999,2.5198,2.5699,2.6025,2.5932,2.597,2.5971,2.5965,2.5977,2.5981
6,0.12284,0.14367,0.13271,0.12985,0.13289,0.12678,0.13112,0.1294,0.12903,0.12912
7,0.0052809,0.02596,0.024621,0.017901,0.019106,0.021509,0.021429,0.021504,0.02187,0.021126
8,0.016223,0.0001715,5.2833e-05,0.0036484,0.003276,0.00065859,0.00097536,0.00082125,0.00056977,0.0011061
9,0.00043637,5.5399e-05,8.3063e-05,0.00018053,0.00012464,0.00017565,0.00017244,0.00016747,0.00017089,0.00016467
10,0.0001441,9.8438e-06,4.5559e-07,6.8567e-06,4.58e-06,2.1236e-06,5.2753e-06,5.0886e-06,3.5073e-06,2.8698e-06
11,0.00025883,,,,,,,,,
12,4.6894e-07,,,,,,,,,
