,0,1,2,3,4,5,6,7,8,9
0,102.09,104.62,103.54,103.78,103.6,103.7,103.18,103.45,103.47,103.48
1,-103.54,-105.74,-104.85,-105.05,-104.89,-104.99,-104.52,-104.76,-104.78,-104.79
2,-7.6861,-8.0103,-7.8297,-7.8654,-7.844,-7.8449,-7.7931,-7.8229,-7.8208,-7.8254
3,-0.032655,-0.035576,-0.033906,-0.034496,-0.034111,-0.034107,-0.033701,-0.033915,-0.033914,-0.033975
4,-2.6958e-06,-3.032e-06,-2.7818e-06,-2.8737e-06,-2.8223e-06,-2.8292e-06,-2.7901e-06,-2.7984e-06,-2.7963e-06,-2.8169e-06
5,1.014,1.0321,1.0375,1.0393,1.037,1.0382,1.0385,1.0391,1.0387,1.0388
6,0.68016,0.6714,0.66399,0.66353,0.66462,0.66376,0.66295,0.66256,0.66287,0.66291
7,0.020206,0.021099,0.022747,0.022973,0.022924,0.022676,0.022675,0.022821,0.022839,0.022769
8,0.0043753,0.0039172,0.0032276,0.0031131,0.0031248,0.0031915,0.0032122,0.0031348,0.0031464,0.0031608
9,7.1917e-06,8.3146e-06,-2.8179e-06,-2.4854e-06,-1.1659e-06,1.5183e-06,-4.3185e-07,2.0264e-07,-9.0208e-07,3.677e-07
