,0,1,2,3,4,5,6,7,8,9
0,106.42,101.72,103.8,103.71,102.86,102.9,103.33,103.54,102.95,103.46
1,-107.47,-103.27,-105.08,-104.97,-104.27,-104.31,-104.67,-104.8,-104.3,-104.79
2,-7.9641,-7.5797,-7.8545,-7.8719,-7.7249,-7.7273,-7.792,-7.8697,-7.7906,-7.7984
3,-0.03588,-0.032197,-0.034517,-0.034443,-0.032727,-0.032888,-0.033622,-0.034114,-0.03375,-0.033675
4,-3.0528e-06,-2.6312e-06,-2.8897e-06,-2.8662e-06,-2.6831e-06,-2.6842e-06,-2.7891e-06,-2.8102e-06,-2.7784e-06,-2.7839e-06
5,0.93973,1.044,1.0503,1.0361,1.031,1.0377,1.0393,1.0387,1.0367,1.0381
6,0.76225,0.67431,0.64799,0.66008,0.66727,0.66432,0.66203,0.66237,0.66524,0.66424
7,0.017452,0.0275,0.02438,0.021406,0.022074,0.022686,0.022743,0.022973,0.022967,0.022725
8,0.0059421,0.0011414,0.0024448,0.0036616,0.0034915,0.0031476,0.0031682,0.0030736,0.0030673,0.0031426
9,3.2062e-05,-1.2851e-05,1.4898e-06,1.1701e-05,1.7556e-06,4.6939e-06,3.3476e-07,-1.5933e-07,2.5967e-06,3.98e-06
10,3.709e-06,8.4697e-06,,1.9507e-06,,,,,,
