,0,1,2,3,4,5,6
0,27.588,28.303,28.544,28.447,28.62,28.683,28.612
1,-53.539,-54.452,-54.691,-54.527,-54.712,-54.799,-54.725
2,-4.8828,-4.774,-4.7696,-4.8309,-4.8218,-4.7973,-4.8002
3,-0.042897,-0.041001,-0.040439,-0.042252,-0.041212,-0.041151,-0.041115
4,-1.6325e-05,-1.5641e-05,-1.5531e-05,-1.6182e-05,-1.5752e-05,-1.5836e-05,-1.5734e-05
5,3.7852,3.8783,3.8964,3.8942,3.897,3.897,3.8969
6,0.11629,0.19917,0.19627,0.19516,0.19342,0.19261,0.19281
7,0.032122,0.0369,0.034708,0.032438,0.032549,0.032859,0.033007
8,0.00018948,-0.0002928,8.0381e-05,0.0013446,0.0011711,0.00093879,0.000848
9,1.7361e-05,3.295e-05,0.00020408,0.00015445,0.0001904,0.00017022,0.00015884
10,8.2804e-05,0.00011549,1.8844e-05,8.3971e-05,3.3957e-05,5.6325e-05,6.7391e-05
11,1.2151e-05,2.5139e-07,4.8365e-06,1.1122e-05,1.2102e-05,1.1254e-05,1.0678e-05
12,9.7987e-08,,,-1.8824e-06,-1.4752e-06,-1.6019e-06,-1.554e-06
