,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,194.93,197.09,199.93,196.79,196.79,198.0,197.55,197.18,197.16,197.85,197.53,197.54,197.46,197.12,197.37,197.3,197.42,197.39,197.48,197.48
1,-194.76,-196.83,-199.97,-196.88,-196.88,-198.0,-197.63,-197.29,-197.28,-197.88,-197.58,-197.61,-197.56,-197.26,-197.45,-197.4,-197.5,-197.46,-197.56,-197.56
2,-7.8573,-8.2331,-8.0604,-8.0478,-8.0478,-8.1211,-8.0247,-8.0129,-8.0028,-8.0828,-8.0722,-8.0528,-8.0129,-7.9798,-8.0401,-8.0246,-8.0364,-8.0427,-8.0412,-8.0412
3,-0.082528,-0.087641,-0.08443,-0.084163,-0.084163,-0.085514,-0.084001,-0.084652,-0.084177,-0.084457,-0.085038,-0.084559,-0.084266,-0.083758,-0.084623,-0.084187,-0.084311,-0.084612,-0.08478,-0.08478
4,-0.00078412,-0.00078303,-0.00078057,-0.00076193,-0.00076193,-0.0007699,-0.00075896,-0.00076387,-0.00076223,-0.00076362,-0.00076964,-0.00076513,-0.00076398,-0.00076499,-0.00076615,-0.00076384,-0.00076525,-0.00076433,-0.00076651,-0.00076651
5,-0.0077062,-0.0071199,-0.0070668,-0.0069134,-0.0069134,-0.006923,-0.0069826,-0.0070094,-0.0069481,-0.006988,-0.0069832,-0.0069548,-0.0069401,-0.0069661,-0.0069613,-0.0069696,-0.0069784,-0.0069849,-0.0069481,-0.0069481
6,-0.0057911,-0.0053574,-0.0052917,-0.0051942,-0.0051942,-0.0051954,-0.0052387,-0.0052687,-0.0052462,-0.0052476,-0.0052498,-0.0052277,-0.0052408,-0.0052517,-0.0052337,-0.0052394,-0.0052452,-0.0052503,-0.0052459,-0.0052459
7,2.3596e-05,1.9703e-05,2.7311e-05,2.5288e-05,2.5288e-05,2.5351e-05,2.5763e-05,2.7033e-05,2.562e-05,2.5664e-05,2.6521e-05,2.6351e-05,2.5584e-05,2.5164e-05,2.6415e-05,2.6544e-05,2.6564e-05,2.6704e-05,2.568e-05,2.568e-05
8,-1.2135e-05,-1.2415e-05,-1.1704e-05,-1.1868e-05,-1.1868e-05,-1.1866e-05,-1.1789e-05,-1.1717e-05,-1.1862e-05,-1.1874e-05,-1.1772e-05,-1.175e-05,-1.1899e-05,-1.2028e-05,-1.175e-05,-1.1749e-05,-1.1764e-05,-1.1751e-05,-1.1887e-05,-1.1887e-05
9,3.323e-06,3.0811e-06,3.3529e-06,3.2142e-06,3.2142e-06,3.2176e-06,3.1351e-06,3.2401e-06,3.1803e-06,3.1848e-06,3.2518e-06,3.2767e-06,3.2003e-06,3.131e-06,3.2608e-06,3.2636e-06,3.2618e-06,3.2583e-06,3.1911e-06,3.1911e-06
10,,,,,,,,,-1.7419e-06,,,,-1.7448e-06,-1.7586e-06,,,,,-1.7446e-06,-1.7446e-06
11,,,,,,,,,-2.0591e-08,,,,-1.9575e-08,-1.8047e-08,,,,,-1.8868e-08,-1.8868e-08
