,0,1,2,3,4,5,6
0,165.59,165.85,166.08,165.99,166.08,165.92,166.05
1,-165.17,-165.34,-165.55,-165.47,-165.56,-165.41,-165.53
2,-6.5807,-6.6122,-6.6197,-6.6116,-6.6144,-6.6038,-6.6149
3,-0.054075,-0.054583,-0.054632,-0.054559,-0.054477,-0.054426,-0.05455
4,-0.00043014,-0.00043163,-0.00043382,-0.0004335,-0.00043322,-0.00043223,-0.00043302
5,-0.0050706,-0.0052341,-0.0052634,-0.0052505,-0.0052502,-0.0052498,-0.0052502
6,-0.0037613,-0.0038864,-0.003902,-0.003891,-0.0038919,-0.0038923,-0.0038922
7,2.1541e-05,2.3445e-05,2.3787e-05,2.3657e-05,2.3692e-05,2.3695e-05,2.3672e-05
8,-1.0295e-05,-1.0403e-05,-1.0426e-05,-1.0411e-05,-1.0407e-05,-1.0413e-05,-1.0412e-05
9,3.2502e-06,3.2468e-06,3.2459e-06,3.2463e-06,3.2445e-06,3.2471e-06,3.2463e-06
