,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,89.12,88.061,92.613,92.613,92.488,91.862,91.862,90.329,90.329,92.571,91.939,92.629,92.909,92.445,91.923,92.139,92.14,92.14,91.822,91.956,91.784,91.929,91.929,91.928,92.096,92.221,91.641,91.641,91.727,92.186,92.186,91.847,91.847,92.022,91.909,91.958,91.76,91.76,91.973,91.828,91.951,91.934,91.996,91.996,91.808,91.808,91.808,91.742
1,-88.153,-87.752,-92.027,-92.027,-91.744,-91.164,-91.164,-89.736,-89.736,-91.775,-91.21,-91.853,-92.108,-91.668,-91.128,-91.332,-91.369,-91.369,-91.062,-91.211,-91.033,-91.172,-91.172,-91.192,-91.339,-91.464,-90.906,-90.906,-90.99,-91.421,-91.421,-91.119,-91.119,-91.256,-91.169,-91.211,-91.017,-91.017,-91.232,-91.09,-91.203,-91.186,-91.243,-91.243,-91.081,-91.081,-91.081,-91.003
2,-3.4976,-3.5072,-3.5977,-3.5977,-3.9247,-3.7354,-3.7354,-3.688,-3.688,-3.8372,-3.7858,-3.8522,-3.8631,-3.8439,-3.8593,-3.8662,-3.8373,-3.8373,-3.82,-3.8079,-3.8155,-3.8211,-3.8211,-3.8002,-3.8187,-3.8187,-3.7968,-3.7968,-3.8,-3.828,-3.828,-3.7919,-3.7919,-3.8296,-3.803,-3.8108,-3.8059,-3.8059,-3.8047,-3.8015,-3.8102,-3.8109,-3.816,-3.816,-3.7903,-3.7903,-3.7903,-3.8025
3,-0.012513,-0.013082,-0.012626,-0.012626,-0.013642,-0.012916,-0.012916,-0.012631,-0.012631,-0.013592,-0.013581,-0.013687,-0.013862,-0.013793,-0.013838,-0.014009,-0.013642,-0.013642,-0.013699,-0.013502,-0.013621,-0.013776,-0.013776,-0.013477,-0.013586,-0.013583,-0.013609,-0.013609,-0.013529,-0.013718,-0.013718,-0.013486,-0.013486,-0.01366,-0.01361,-0.013642,-0.013575,-0.013575,-0.013547,-0.013588,-0.013569,-0.013616,-0.013641,-0.013641,-0.013468,-0.013468,-0.013468,-0.013553
4,-3.6523e-05,-3.2646e-05,-3.2601e-05,-3.2601e-05,-3.3201e-05,-3.223e-05,-3.223e-05,-3.1411e-05,-3.1411e-05,-3.4758e-05,-3.5078e-05,-3.4084e-05,-3.5494e-05,-3.483e-05,-3.4813e-05,-3.5693e-05,-3.4376e-05,-3.4376e-05,-3.5123e-05,-3.4619e-05,-3.4715e-05,-3.4981e-05,-3.4981e-05,-3.4212e-05,-3.4408e-05,-3.4801e-05,-3.474e-05,-3.474e-05,-3.4833e-05,-3.4986e-05,-3.4986e-05,-3.4467e-05,-3.4467e-05,-3.4864e-05,-3.4579e-05,-3.4829e-05,-3.4656e-05,-3.4656e-05,-3.4549e-05,-3.4626e-05,-3.4554e-05,-3.4592e-05,-3.4622e-05,-3.4622e-05,-3.4433e-05,-3.4433e-05,-3.4433e-05,-3.4519e-05
5,-0.01319,-0.0026594,-0.0030488,-0.0030488,-0.0024561,-0.0027456,-0.0027456,-0.0025881,-0.0025881,-0.0026871,-0.0026485,-0.0026406,-0.0026645,-0.0026554,-0.0026277,-0.0026678,-0.0026234,-0.0026234,-0.0026528,-0.0026646,-0.002647,-0.002659,-0.002659,-0.0026427,-0.002649,-0.0026503,-0.0026511,-0.0026511,-0.0026526,-0.0026405,-0.0026405,-0.002644,-0.002644,-0.002643,-0.0026509,-0.0026444,-0.0026494,-0.0026494,-0.0026466,-0.0026452,-0.0026484,-0.0026476,-0.0026495,-0.0026495,-0.0026479,-0.0026479,-0.0026479,-0.0026461
6,-0.012241,-0.0019414,-0.0022302,-0.0022302,-0.00179,-0.0019788,-0.0019788,-0.0018762,-0.0018762,-0.0019711,-0.0019283,-0.0019275,-0.0019378,-0.0019344,-0.001913,-0.0019494,-0.0019062,-0.0019062,-0.0019294,-0.0019378,-0.0019243,-0.001936,-0.001936,-0.0019216,-0.0019317,-0.0019292,-0.0019295,-0.0019295,-0.0019294,-0.001922,-0.001922,-0.0019251,-0.0019251,-0.0019218,-0.0019277,-0.0019227,-0.0019291,-0.0019291,-0.0019272,-0.0019285,-0.0019277,-0.0019253,-0.0019271,-0.0019271,-0.0019284,-0.0019284,-0.0019284,-0.0019271
7,5.0431e-05,1.1153e-05,1.3121e-05,1.3121e-05,1.0249e-05,1.0768e-05,1.0768e-05,9.8494e-06,9.8494e-06,1.2849e-05,1.1185e-05,1.2268e-05,1.1299e-05,1.1202e-05,1.0955e-05,1.2801e-05,1.0867e-05,1.0867e-05,1.097e-05,1.0978e-05,1.1038e-05,1.1635e-05,1.1635e-05,1.0962e-05,1.1998e-05,1.1363e-05,1.1398e-05,1.1398e-05,1.0979e-05,1.1421e-05,1.1421e-05,1.1493e-05,1.1493e-05,1.0976e-05,1.0985e-05,1.092e-05,1.1535e-05,1.1535e-05,1.1574e-05,1.1924e-05,1.1376e-05,1.0996e-05,1.1038e-05,1.1038e-05,1.1647e-05,1.1647e-05,1.1647e-05,1.1606e-05
8,-4.4053e-05,-6.4241e-06,-6.928e-06,-6.928e-06,-6.2565e-06,-6.8022e-06,-6.8022e-06,,,-6.2907e-06,-6.5328e-06,-6.43e-06,-6.6317e-06,-6.5845e-06,-6.5796e-06,-6.3374e-06,-6.6214e-06,-6.6214e-06,-6.604e-06,-6.6291e-06,-6.562e-06,-6.5767e-06,-6.5767e-06,-6.572e-06,-6.4862e-06,-6.5614e-06,-6.5908e-06,-6.5908e-06,-6.5895e-06,-6.5619e-06,-6.5619e-06,-6.5551e-06,-6.5551e-06,-6.5712e-06,-6.5845e-06,-6.5796e-06,-6.5598e-06,-6.5598e-06,-6.5618e-06,-6.4869e-06,-6.5589e-06,-6.5797e-06,-6.574e-06,-6.574e-06,-6.5537e-06,-6.5537e-06,-6.5537e-06,-6.5447e-06
9,-1.6575e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
