,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,67.823,67.823,67.864,67.864,66.224,66.224,65.661,65.356,65.072,67.232,67.571,66.926,66.926,65.847,66.428,66.428,66.198,66.144,66.144,66.144,66.588,66.304,66.579,66.417,66.384,66.621,66.621,66.247,66.247,66.516,66.175,66.175,66.298,66.364,66.5,66.379,66.379,66.167,66.353,66.353,66.353,66.295,66.295,66.295,66.426,66.426,66.426,66.426,66.368,66.368,66.362,66.477,66.477,66.477,66.477,66.465
1,-76.539,-76.539,-76.664,-76.664,-74.927,-74.927,-74.556,-74.289,-74.164,-76.125,-76.224,-75.695,-75.695,-74.705,-75.255,-75.255,-75.048,-75.02,-75.02,-75.02,-75.443,-75.139,-75.442,-75.257,-75.212,-75.444,-75.444,-75.093,-75.093,-75.348,-75.062,-75.062,-75.151,-75.221,-75.338,-75.219,-75.219,-75.042,-75.198,-75.198,-75.198,-75.153,-75.153,-75.153,-75.272,-75.272,-75.272,-75.272,-75.22,-75.22,-75.208,-75.32,-75.32,-75.32,-75.32,-75.306
2,-4.3779,-4.3779,-4.3216,-4.3216,-4.4157,-4.4157,-4.2276,-4.1895,-4.0305,-4.2293,-4.4679,-4.3519,-4.3519,-4.2643,-4.2942,-4.2942,-4.2721,-4.2458,-4.2458,-4.2458,-4.2659,-4.2862,-4.2586,-4.2818,-4.2932,-4.2991,-4.2991,-4.2753,-4.2753,-4.2904,-4.2353,-4.2353,-4.2682,-4.2653,-4.284,-4.2812,-4.2812,-4.2471,-4.2763,-4.2763,-4.2763,-4.2628,-4.2628,-4.2628,-4.275,-4.275,-4.275,-4.275,-4.2697,-4.2697,-4.276,-4.2789,-4.2789,-4.2789,-4.2789,-4.2804
3,-0.02894,-0.02894,-0.030186,-0.030186,-0.030629,-0.030629,-0.027742,-0.026913,-0.02736,-0.027514,-0.029396,-0.028769,-0.028769,-0.028218,-0.028308,-0.028308,-0.028244,-0.028283,-0.028283,-0.028283,-0.028161,-0.028201,-0.028032,-0.028257,-0.028446,-0.028245,-0.028245,-0.028227,-0.028227,-0.028322,-0.027863,-0.027863,-0.028244,-0.028173,-0.028352,-0.028235,-0.028235,-0.02812,-0.028284,-0.028284,-0.028284,-0.02824,-0.02824,-0.02824,-0.028276,-0.028276,-0.028276,-0.028276,-0.028146,-0.028146,-0.028215,-0.02823,-0.02823,-0.02823,-0.02823,-0.028323
4,-0.00033051,-0.00033051,-0.0003472,-0.0003472,-0.00036141,-0.00036141,-0.00031625,-0.00029712,-0.00031665,-0.0003096,-0.00033169,-0.0003227,-0.0003227,-0.00032094,-0.0003227,-0.0003227,-0.00032121,-0.00032268,-0.00032268,-0.00032268,-0.00031992,-0.00031888,-0.0003166,-0.00031959,-0.00032297,-0.00031909,-0.0003191,-0.0003189,-0.0003189,-0.00032027,-0.00031519,-0.00031519,-0.00031946,-0.00031861,-0.00032149,-0.00031946,-0.00031946,-0.00031938,-0.00032022,-0.00032022,-0.00032022,-0.00032025,-0.00032025,-0.00032025,-0.00032028,-0.00032028,-0.00032028,-0.00032028,-0.00031805,-0.00031805,-0.00031886,-0.00031913,-0.00031913,-0.00031913,-0.00031913,-0.000321
5,1.0158,1.0158,0.99078,0.99078,0.99029,0.99029,0.99014,0.99022,0.99005,0.99021,0.99006,0.99016,0.99016,0.99015,0.99015,0.99015,0.99016,0.99015,0.99015,0.99015,0.99015,0.99016,0.99017,0.99015,0.99016,0.99016,0.99016,0.99015,0.99015,0.99016,0.99016,0.99016,0.99016,0.99017,0.99016,0.99017,0.99017,0.99016,0.99016,0.99016,0.99016,0.99016,0.99016,0.99016,0.99017,0.99017,0.99017,0.99017,0.99016,0.99016,0.99015,0.99017,0.99017,0.99017,0.99017,0.99016
6,0.1027,0.1027,0.096199,0.096199,0.096059,0.096059,0.096049,0.096065,0.096043,0.096051,0.096049,0.096048,0.096048,0.096043,0.096042,0.096042,0.096031,0.096046,0.096046,0.096046,0.096051,0.096045,0.096052,0.09604,0.09604,0.096062,0.096062,0.096042,0.096042,0.096041,0.096034,0.096034,0.096053,0.096051,0.09603,0.09605,0.09605,0.096035,0.096043,0.096043,0.096043,0.096037,0.096037,0.096037,0.096045,0.096045,0.096045,0.096045,0.096039,0.096039,0.096049,0.09605,0.09605,0.09605,0.09605,0.096045
7,-0.0099305,-0.0099305,-0.008542,-0.008542,-0.0084332,-0.0084332,-0.0084568,-0.0084678,-0.0084111,-0.0084506,-0.0084504,-0.0084945,-0.0084945,-0.0084902,-0.0084818,-0.0084818,-0.0084983,-0.0084895,-0.0084895,-0.0084895,-0.0084867,-0.0084809,-0.0084774,-0.0084872,-0.0084941,-0.0084638,-0.0084638,-0.0084861,-0.0084861,-0.0084856,-0.0084923,-0.0084923,-0.0084779,-0.0084744,-0.0084972,-0.0084785,-0.0084785,-0.0084959,-0.0084856,-0.0084856,-0.0084856,-0.0084912,-0.0084912,-0.0084912,-0.0084794,-0.0084794,-0.0084794,-0.0084794,-0.0084909,-0.0084909,-0.0084802,-0.0084747,-0.0084747,-0.0084747,-0.0084747,-0.0084824
8,0.0017672,0.0017672,0.0012796,0.0012796,0.0012331,0.0012331,0.0012367,0.0012396,0.0011933,0.0012303,0.0012299,0.0012651,0.0012651,0.0012705,0.0012643,0.0012643,0.0012783,0.0012631,0.0012631,0.0012631,0.0012621,0.0012552,0.0012488,0.0012664,0.0012689,0.0012358,0.0012358,0.0012625,0.0012625,0.0012618,0.0012688,0.0012688,0.0012507,0.0012472,0.0012731,0.0012505,0.0012505,0.0012728,0.0012593,0.0012593,0.0012593,0.0012677,0.0012677,0.0012677,0.0012516,0.0012516,0.0012516,0.0012516,0.0012667,0.0012667,0.0012564,0.0012467,0.0012467,0.0012467,0.0012467,0.0012554
9,-0.00099103,-0.00099103,-0.0010996,-0.0010996,-0.0011139,-0.0011139,-0.0010963,-0.0011004,-0.0011151,-0.0011046,-0.001102,-0.0011033,-0.0011033,-0.0010944,-0.0010997,-0.0010997,-0.001091,-0.001093,-0.001093,-0.001093,-0.0010945,-0.0010986,-0.00111,-0.0010941,-0.0010926,-0.001113,-0.001113,-0.0010925,-0.0010925,-0.0010975,-0.0010906,-0.0010906,-0.0011048,-0.00111,-0.0010896,-0.0011091,-0.0011091,-0.0010903,-0.0010992,-0.0010992,-0.0010992,-0.0010908,-0.0010908,-0.0010908,-0.0011085,-0.0011085,-0.0011085,-0.0011085,-0.0010911,-0.0010911,-0.001099,-0.0011091,-0.0011091,-0.0011091,-0.0011091,-0.0011025
