,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,17.057,14.752,14.752,16.988,17.262,17.262,16.575,16.572,16.575,17.004,16.37,16.964,16.964,16.877,16.877,16.461,16.461,16.868,16.66,16.498,16.493,16.493,16.404,16.462,16.462,16.638,16.638,16.768,16.651,16.541,16.541,16.631,16.627,16.627,16.627,16.61,16.604,16.604,16.586,16.566,16.566,16.546,16.546,16.546,16.546,16.601,16.601,16.633,16.76,16.76,16.76,16.732,16.732,16.732,16.617,16.69,16.69,16.69,16.559,16.651,16.651,16.651,16.651,16.652,16.652,16.652,16.652,16.652,16.642,16.642,16.642,16.672,16.672,16.607,16.607,16.607,16.607,16.628,16.628,16.628,16.628,16.628,16.632,16.621,16.621,16.621,16.621
1,-23.304,-22.934,-22.934,-24.736,-25.318,-25.318,-24.702,-24.744,-24.686,-25.155,-24.523,-25.119,-25.119,-25.036,-25.036,-24.615,-24.615,-25.026,-24.821,-24.655,-24.653,-24.653,-24.559,-24.636,-24.636,-24.794,-24.794,-24.926,-24.812,-24.708,-24.708,-24.791,-24.786,-24.786,-24.786,-24.765,-24.756,-24.756,-24.741,-24.73,-24.73,-24.703,-24.703,-24.703,-24.703,-24.76,-24.76,-24.792,-24.914,-24.914,-24.914,-24.887,-24.887,-24.887,-24.776,-24.843,-24.843,-24.843,-24.722,-24.809,-24.809,-24.809,-24.809,-24.808,-24.808,-24.808,-24.808,-24.808,-24.798,-24.798,-24.798,-24.828,-24.828,-24.763,-24.763,-24.763,-24.763,-24.786,-24.786,-24.786,-24.786,-24.786,-24.788,-24.777,-24.777,-24.777,-24.777
2,-0.73813,-0.54907,-0.54907,-0.73285,-0.79153,-0.79153,-0.73977,-0.69432,-0.73874,-0.72058,-0.71909,-0.71773,-0.71773,-0.71388,-0.71388,-0.71868,-0.71868,-0.71568,-0.71181,-0.71652,-0.71371,-0.71371,-0.71809,-0.69933,-0.69933,-0.71793,-0.71793,-0.71518,-0.71223,-0.7064,-0.7064,-0.71308,-0.71443,-0.71443,-0.71443,-0.71811,-0.72131,-0.72131,-0.7186,-0.70917,-0.70917,-0.71662,-0.71662,-0.71662,-0.71662,-0.71413,-0.71413,-0.71463,-0.71985,-0.71985,-0.71985,-0.71858,-0.71858,-0.71858,-0.71429,-0.71963,-0.71963,-0.71963,-0.71026,-0.71528,-0.71528,-0.71528,-0.71528,-0.71782,-0.71782,-0.71782,-0.71782,-0.71782,-0.71713,-0.71713,-0.71713,-0.71792,-0.71792,-0.71688,-0.71688,-0.71688,-0.71688,-0.71508,-0.71508,-0.71508,-0.71508,-0.71508,-0.71767,-0.71781,-0.71781,-0.71781,-0.71781
3,-0.0010173,-0.00060115,-0.00060115,-0.0009846,-0.001051,-0.001051,-0.00094838,-0.00086014,-0.00094504,-0.00085478,-0.00092376,-0.00089563,-0.00089563,-0.00088941,-0.00088941,-0.00090994,-0.00090994,-0.00089693,-0.00087218,-0.00090681,-0.00089782,-0.00089782,-0.00089806,-0.00087672,-0.00087672,-0.000916,-0.000916,-0.00089623,-0.00089116,-0.00089577,-0.00089577,-0.00088523,-0.0008966,-0.0008966,-0.0008966,-0.00090561,-0.00090882,-0.00090882,-0.00091161,-0.00089292,-0.00089292,-0.000909,-0.000909,-0.000909,-0.000909,-0.00089726,-0.00089726,-0.00089973,-0.00090486,-0.00090486,-0.00090486,-0.00090559,-0.00090559,-0.00090559,-0.00090006,-0.00090652,-0.00090652,-0.00090652,-0.00089021,-0.0009008,-0.0009008,-0.0009008,-0.0009008,-0.00090333,-0.00090333,-0.00090333,-0.00090333,-0.00090333,-0.00090187,-0.00090187,-0.00090187,-0.00090642,-0.00090642,-0.00090179,-0.00090179,-0.00090179,-0.00090179,-0.0009028,-0.0009028,-0.0009028,-0.0009028,-0.0009028,-0.00090359,-0.00090355,-0.00090355,-0.00090355,-0.00090355
4,-1.0491e-06,-7.7144e-07,-7.7144e-07,-1.1332e-06,-1.1988e-06,-1.1988e-06,-1.1407e-06,-9.3578e-07,-1.0485e-06,-1.0646e-06,-1.0051e-06,-1.0184e-06,-1.0184e-06,-1.0538e-06,-1.0538e-06,-1.0318e-06,-1.0318e-06,-1.0748e-06,-1.0436e-06,-1.0779e-06,-1.0703e-06,-1.0703e-06,-1.0164e-06,-1.0108e-06,-1.0108e-06,-1.0699e-06,-1.0699e-06,-1.0537e-06,-1.0449e-06,-1.0472e-06,-1.0472e-06,-1.0187e-06,-1.0395e-06,-1.0395e-06,-1.0395e-06,-1.0402e-06,-1.0517e-06,-1.0517e-06,-1.0556e-06,-1.0203e-06,-1.0203e-06,-1.0472e-06,-1.0472e-06,-1.0472e-06,-1.0472e-06,-1.0502e-06,-1.0502e-06,-1.0329e-06,-1.0394e-06,-1.0394e-06,-1.0394e-06,-1.0315e-06,-1.0315e-06,-1.0315e-06,-1.0307e-06,-1.0473e-06,-1.0473e-06,-1.0473e-06,-1.0421e-06,-1.0386e-06,-1.0386e-06,-1.0386e-06,-1.0386e-06,-1.0404e-06,-1.0404e-06,-1.0404e-06,-1.0404e-06,-1.0404e-06,-1.0446e-06,-1.0446e-06,-1.0446e-06,-1.0482e-06,-1.0482e-06,-1.0392e-06,-1.0392e-06,-1.0392e-06,-1.0392e-06,-1.0389e-06,-1.0389e-06,-1.0389e-06,-1.0389e-06,-1.0389e-06,-1.0375e-06,-1.0424e-06,-1.0424e-06,-1.0425e-06,-1.0425e-06
5,0.031006,0.0077997,0.0077997,0.010855,0.0059595,0.0059595,0.0057971,0.0056773,0.0058977,0.0055335,0.0055667,0.0055103,0.0055103,0.0055558,0.0055558,0.0055258,0.0055258,0.0055197,0.0055429,0.0055186,0.0055202,0.0055202,0.0055412,0.005526,0.005526,0.0055294,0.0055294,0.0055327,0.0055433,0.0055425,0.0055425,0.0055388,0.0055435,0.0055435,0.0055435,0.0055424,0.0055463,0.0055463,0.0055413,0.0055477,0.0055477,0.005548,0.005548,0.005548,0.005548,0.0055413,0.0055413,0.0055478,0.0055474,0.0055474,0.0055474,0.0055471,0.0055471,0.0055471,0.0055413,0.0055468,0.0055468,0.0055468,0.0055411,0.0055466,0.0055466,0.0055466,0.0055466,0.0055466,0.0055466,0.0055466,0.0055466,0.0055466,0.0055412,0.0055412,0.0055412,0.0055466,0.0055466,0.0055467,0.0055467,0.0055467,0.0055467,0.0055467,0.0055467,0.0055467,0.0055467,0.0055467,0.0055411,0.0055467,0.0055467,0.0055467,0.0055467
6,0.01596,0.0084404,0.0084404,0.0083113,0.0074418,0.0074418,0.0073314,0.0072477,0.0073553,0.0071465,0.0071803,0.0071247,0.0071247,0.0071694,0.0071694,0.0071317,0.0071317,0.007129,0.0071656,0.0071295,0.0071321,0.0071321,0.0071617,0.0071387,0.0071387,0.0071421,0.0071421,0.0071455,0.0071639,0.0071627,0.0071627,0.0071514,0.0071555,0.0071555,0.0071555,0.0071626,0.0071577,0.0071577,0.0071618,0.0071583,0.0071583,0.007158,0.007158,0.007158,0.007158,0.0071621,0.0071621,0.0071575,0.0071569,0.0071569,0.0071569,0.0071565,0.0071565,0.0071565,0.0071623,0.0071563,0.0071563,0.0071563,0.0071625,0.0071561,0.0071561,0.0071561,0.0071561,0.0071562,0.0071562,0.0071562,0.0071562,0.0071562,0.0071624,0.0071624,0.0071624,0.0071562,0.0071562,0.0071562,0.0071562,0.0071562,0.0071562,0.0071563,0.0071563,0.0071563,0.0071563,0.0071563,0.0071624,0.0071563,0.0071563,0.0071563,0.0071563
7,-0.005431,-0.0017704,-0.0017704,-0.002434,-0.0012907,-0.0012907,-0.0013002,-0.0012409,-0.0013003,-0.0012128,-0.0012239,-0.0012099,-0.0012099,-0.0012245,-0.0012245,-0.0012119,-0.0012119,-0.0012121,-0.0012241,-0.0012131,-0.0012144,-0.0012144,-0.0012232,-0.001217,-0.001217,-0.0012182,-0.0012182,-0.0012193,-0.001224,-0.0012236,-0.0012236,-0.0012214,-0.0012226,-0.0012226,-0.0012226,-0.0012236,-0.0012233,-0.0012233,-0.0012234,-0.0012234,-0.0012234,-0.0012233,-0.0012233,-0.0012233,-0.0012233,-0.0012234,-0.0012234,-0.0012231,-0.001223,-0.001223,-0.001223,-0.0012229,-0.0012229,-0.0012229,-0.0012235,-0.0012228,-0.0012228,-0.0012228,-0.0012235,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012227,-0.0012235,-0.0012235,-0.0012235,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012228,-0.0012235,-0.0012228,-0.0012228,-0.0012228,-0.0012228
8,-0.00028399,-0.00018309,-0.00018309,-0.00025895,-0.00015777,-0.00015777,-0.00015,-0.00015044,-0.00015307,-0.00014593,-0.00014688,-0.00014628,-0.00014628,-0.00014632,-0.00014632,-0.00014652,-0.00014652,-0.00014614,-0.00014505,-0.00014585,-0.00014554,-0.00014554,-0.00014556,-0.00014545,-0.00014545,-0.00014542,-0.00014542,-0.0001455,-0.00014574,-0.00014575,-0.00014575,-0.00014535,-0.00014548,-0.00014548,-0.00014548,-0.00014582,-0.00014555,-0.00014555,-0.00014578,-0.00014566,-0.00014566,-0.0001457,-0.0001457,-0.0001457,-0.0001457,-0.00014576,-0.00014576,-0.00014579,-0.00014581,-0.00014581,-0.00014581,-0.00014575,-0.00014575,-0.00014575,-0.0001457,-0.00014577,-0.00014577,-0.00014577,-0.00014575,-0.00014579,-0.00014579,-0.00014579,-0.00014579,-0.00014577,-0.00014577,-0.00014577,-0.00014577,-0.00014577,-0.00014571,-0.00014571,-0.00014571,-0.00014576,-0.00014576,-0.00014576,-0.00014576,-0.00014576,-0.00014576,-0.00014577,-0.00014577,-0.00014577,-0.00014577,-0.00014577,-0.00014573,-0.00014577,-0.00014577,-0.00014577,-0.00014577
9,-9.4604e-06,-3.6698e-05,-3.6698e-05,-2.3785e-05,-3.0054e-05,-3.0054e-05,-3.1938e-05,-2.968e-05,-3.0681e-05,-2.9664e-05,-2.9976e-05,-2.9451e-05,-2.9451e-05,-3.0108e-05,-3.0108e-05,-2.9501e-05,-2.9501e-05,-2.959e-05,-3.028e-05,-2.9681e-05,-2.9791e-05,-2.9791e-05,-3.0129e-05,-2.9916e-05,-2.9916e-05,-2.9962e-05,-2.9962e-05,-2.9998e-05,-3.0133e-05,-3.0085e-05,-3.0085e-05,-3.0098e-05,-3.0138e-05,-3.0138e-05,-3.0138e-05,-3.0087e-05,-3.0147e-05,-3.0147e-05,-3.0079e-05,-3.0126e-05,-3.0126e-05,-3.0114e-05,-3.0114e-05,-3.0114e-05,-3.0114e-05,-3.0087e-05,-3.0087e-05,-3.0092e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0086e-05,-3.0086e-05,-3.0086e-05,-3.0097e-05,-3.0081e-05,-3.0081e-05,-3.0081e-05,-3.0095e-05,-3.0074e-05,-3.0074e-05,-3.0074e-05,-3.0074e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0096e-05,-3.0096e-05,-3.0096e-05,-3.0077e-05,-3.0077e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0079e-05,-3.0076e-05,-3.0076e-05,-3.0076e-05,-3.0076e-05,-3.0076e-05,-3.0097e-05,-3.0075e-05,-3.0075e-05,-3.0075e-05,-3.0075e-05
