,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,623.73,623.73,622.4,622.43,621.33,620.05,621.46,621.46,619.61,621.16,621.68,622.25,621.68,621.68,621.98,620.94,622.74,621.92,621.92,622.02
1,-628.41,-628.41,-627.26,-627.54,-626.87,-625.36,-626.75,-626.75,-625.16,-626.57,-626.87,-627.51,-626.87,-626.87,-627.18,-626.23,-627.84,-627.16,-627.16,-627.24
2,-32.191,-32.191,-32.134,-32.23,-31.88,-32.152,-32.135,-32.135,-31.872,-31.983,-32.248,-32.175,-32.248,-32.248,-32.239,-32.143,-32.315,-32.184,-32.184,-32.204
3,-0.55249,-0.55249,-0.56255,-0.55941,-0.54944,-0.55903,-0.56242,-0.56242,-0.5594,-0.5643,-0.56597,-0.562,-0.56597,-0.56597,-0.56691,-0.56281,-0.5642,-0.56314,-0.56314,-0.56483
4,-0.016144,-0.016144,-0.016174,-0.015974,-0.015485,-0.015947,-0.016214,-0.016214,-0.016142,-0.016201,-0.016237,-0.016224,-0.016237,-0.016237,-0.016248,-0.016134,-0.016177,-0.016161,-0.016161,-0.016318
5,1.5837,1.5837,1.6089,1.6433,1.6768,1.7361,1.7482,1.7482,1.7395,1.6908,1.7096,1.7095,1.7096,1.7096,1.725,1.7276,1.7101,1.7041,1.7041,1.7048
6,0.023512,0.023512,0.02395,0.025488,0.02571,0.026315,0.024541,0.024541,0.024681,0.024097,0.024837,0.024816,0.024837,0.024837,0.024597,0.024518,0.023594,0.024418,0.024418,0.024239
7,0.016247,0.016247,0.015616,0.0090122,0.011575,0.01723,0.017536,0.017536,0.017352,0.01696,0.017088,0.01712,0.017088,0.017088,0.017286,0.017228,0.017047,0.017141,0.017141,0.017056
8,-0.00015672,-0.00015672,3.9276e-05,0.0062541,0.0044822,-0.0005348,-0.0014604,-0.0014604,-0.00033707,-0.0007228,-0.0011395,-0.00092077,-0.0011395,-0.0011395,0.00014126,-0.0012474,-0.0010588,7.0379e-05,7.0379e-05,-0.00099651
9,0.00019303,0.00019303,0.00038726,0.001283,-1.3288e-05,0.00065938,0.0016429,0.0016429,0.00059754,0.00092925,0.0013514,0.00095873,0.0013514,0.0013514,2.5145e-05,0.0012944,0.00103,7.1399e-05,7.1399e-05,0.0010295
10,6.1594e-05,6.1594e-05,0.00045731,0.00011393,0.00092862,0.00029827,-5.3119e-06,-5.3119e-06,8.6127e-05,5.735e-05,4.9127e-06,0.00014172,4.9133e-06,4.9127e-06,1.8254e-05,0.00016532,0.00023795,-5.0365e-06,-5.0365e-06,0.00019729
11,2.1833e-05,2.1832e-05,2.393e-05,3.0919e-05,1.6577e-05,4.9419e-06,2.6326e-05,2.6326e-05,1.2609e-05,1.5838e-05,2.0882e-05,6.1968e-06,2.0883e-05,2.0882e-05,6.8612e-06,3.4989e-06,3.7442e-06,2.9521e-05,2.9521e-05,8.0686e-06
12,3.1376e-05,3.1377e-05,1.4108e-05,-2.8675e-05,6.4544e-06,,6.3929e-06,6.3929e-06,3.6806e-06,3.9195e-06,4.9758e-06,,4.9748e-06,4.9758e-06,4.18e-06,,,2.493e-06,2.493e-06,
13,4.7153e-06,4.7151e-06,9.3417e-06,1.9542e-05,9.7379e-06,,1.11e-06,1.11e-06,,,3.4637e-06,,3.4643e-06,3.4637e-06,4.7289e-07,,,2.4167e-06,2.4167e-06,
14,1.5462e-06,1.5459e-06,,6.7142e-06,,,1.5177e-06,1.5177e-06,,,1.8608e-06,,1.8603e-06,1.8608e-06,,,,4.9612e-07,4.9612e-07,
15,1.4427e-07,1.4506e-07,,1.3724e-06,,,4.4962e-07,4.4962e-07,,,3.3303e-07,,3.339e-07,3.3303e-07,,,,,,
16,,,,8.3005e-07,,,,,,,,,,,,,,,,
