,0,1,2,3,4
0,696.33,698.94,699.4,698.07,698.34
1,-706.7,-708.99,-709.56,-708.4,-708.66
2,-32.076,-32.636,-32.553,-32.401,-32.409
3,-0.67516,-0.68923,-0.68744,-0.68548,-0.68437
4,-0.021523,-0.021005,-0.021643,-0.021057,-0.020981
5,1.7969,1.9062,1.9317,1.9469,1.9534
6,0.028161,0.032129,0.03217,0.033004,0.032898
7,0.018151,0.019381,0.019498,0.019713,0.019717
8,-6.7988e-05,-0.00043224,-0.00062332,-3.9852e-05,-3.6741e-05
9,0.00019928,0.00038329,0.00062286,9.7531e-06,1.4748e-05
10,-1.5133e-06,1.327e-05,7.0913e-06,1.6165e-05,1.6166e-05
11,1.9136e-05,1.664e-05,1.9747e-05,1.2971e-05,1.2841e-05
12,4.4662e-06,3.8796e-06,4.972e-06,1.8913e-06,7.5663e-07
