,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,730.65,730.65,731.86,731.86,730.0,730.01,729.36,729.36,729.36,729.38,727.82,727.82,727.82,730.75,731.09,730.31,729.92,729.01,729.01,729.01
1,-793.89,-793.89,-795.4,-795.4,-792.78,-792.75,-792.26,-792.26,-792.26,-792.27,-791.01,-791.01,-791.01,-793.69,-793.72,-793.32,-792.92,-792.07,-792.07,-792.07
2,-89.352,-89.352,-89.013,-89.013,-89.667,-89.751,-89.604,-89.604,-89.604,-89.635,-89.333,-89.333,-89.333,-89.545,-89.887,-89.513,-89.517,-89.471,-89.471,-89.471
3,-4.8243,-4.8243,-4.8894,-4.8894,-5.0217,-4.9727,-4.9556,-4.9556,-4.9556,-4.9496,-4.9417,-4.9417,-4.9417,-4.979,-4.9424,-4.9376,-4.9471,-4.9264,-4.9264,-4.9264
4,-0.17701,-0.17701,-0.18228,-0.18228,-0.18617,-0.1858,-0.18523,-0.18523,-0.18523,-0.18373,-0.18465,-0.18465,-0.18465,-0.18428,-0.18188,-0.18471,-0.18444,-0.18293,-0.18293,-0.18293
5,6.7277,6.7277,6.5799,6.5799,6.555,6.5852,6.5608,6.5608,6.5608,6.5738,6.5859,6.5859,6.5859,6.5667,6.59,6.5792,6.5801,6.5766,6.5766,6.5766
6,2.2215,2.2215,2.1112,2.1112,2.1599,2.1506,2.1596,2.1596,2.1596,2.1702,2.1496,2.1496,2.1496,2.1598,2.1395,2.1551,2.1532,2.1513,2.1513,2.1513
7,0.018824,0.018824,0.027649,0.027649,0.025048,0.024608,0.026729,0.026729,0.026729,0.024129,0.025294,0.025294,0.025294,0.024518,0.024914,0.024846,0.024595,0.024928,0.024928,0.024928
8,0.004078,0.004078,0.0013343,0.0013343,0.0027073,0.002154,0.0017092,0.0017092,0.0017092,0.0029859,0.0020581,0.0020581,0.0020581,0.0018317,0.0026924,0.0026002,0.0017728,0.0025691,0.0025691,0.0025691
9,0.0046595,0.0046595,0.00038297,0.00038297,9.0245e-05,0.00088026,0.00030594,0.00030594,0.00030594,0.00033849,0.00048157,0.00048157,0.00048157,0.0012648,4.8217e-05,0.00022856,0.001247,0.00019548,0.00019548,0.00019548
10,-6.554e-05,-6.554e-05,-7.1649e-05,-7.1649e-05,-7.9566e-05,-0.00010127,-8.8648e-05,-8.8648e-05,-8.8648e-05,-0.00013063,-0.00011824,-0.00011824,-0.00011824,-0.00012364,-7.5887e-05,-9.0977e-05,-0.00010536,-9.0906e-05,-9.0906e-05,-9.0906e-05
11,-0.00010984,-0.00010984,-6.435e-05,-6.435e-05,-5.5113e-05,-4.7918e-05,-4.1267e-05,-4.1267e-05,-4.1267e-05,-5.3098e-06,-1.1019e-05,-1.1019e-05,-1.1019e-05,-2.4101e-05,-5.1305e-05,-3.137e-05,-3.3771e-05,-3.2873e-05,-3.2873e-05,-3.2873e-05
12,-7.9972e-06,-7.9972e-06,4.1106e-06,4.1106e-06,4.7245e-06,4.8756e-06,4.0215e-06,4.0215e-06,4.0215e-06,7.9003e-06,6.2374e-06,6.2374e-06,6.2374e-06,5.5645e-06,5.5949e-06,6.1951e-06,5.8313e-06,5.7195e-06,5.7195e-06,5.7195e-06
13,7.9596e-06,7.9596e-06,5.4114e-06,5.4114e-06,5.6347e-06,5.9483e-06,4.3865e-06,4.3865e-06,4.3865e-06,4.1252e-06,4.0364e-06,4.0364e-06,4.0364e-06,4.6395e-06,6.0085e-06,6.6989e-06,4.5875e-06,6.6449e-06,6.6449e-06,6.6449e-06
14,1.8831e-06,1.8831e-06,4.6882e-07,4.6882e-07,1.2015e-06,9.6453e-07,7.2137e-07,7.2137e-07,7.2137e-07,1.0882e-06,8.6426e-07,8.6426e-07,8.6426e-07,1.5309e-06,6.8118e-07,6.4572e-07,2.1733e-06,7.4221e-07,7.4221e-07,7.4221e-07
15,2.6253e-06,2.6253e-06,,,1.2223e-06,,,,,1.2022e-06,,,,1.0466e-06,,,2.8374e-07,,,
16,1.4027e-06,1.4027e-06,,,7.5302e-07,,,,,8.1268e-08,,,,3.6309e-07,,,,,,
17,3.4407e-07,3.4407e-07,,,,,,,,,,,,,,,,,,
