,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,674.23,676.38,675.75,675.59,676.03,676.02,675.85,674.83,675.52,675.53,675.35,675.42,675.87,675.54
1,-709.23,-710.97,-710.3,-710.35,-710.86,-710.69,-710.52,-709.7,-710.2,-710.31,-710.19,-710.14,-710.67,-710.23
2,-99.882,-100.25,-100.28,-100.07,-100.06,-100.2,-100.15,-99.983,-100.14,-100.07,-100.02,-100.13,-100.05,-100.16
3,-9.5498,-9.5729,-9.5866,-9.6015,-9.5376,-9.5662,-9.6096,-9.5689,-9.6066,-9.5771,-9.5734,-9.5801,-9.5772,-9.5737
4,-0.80897,-0.81641,-0.81798,-0.80028,-0.81082,-0.80482,-0.80645,-0.8122,-0.81063,-0.80916,-0.80474,-0.80758,-0.80968,-0.81122
5,5.5118,5.5123,5.5089,5.5133,5.512,5.5117,5.5123,5.5095,5.5116,5.5123,5.5132,5.5116,5.5115,5.5105
6,1.6263,1.6245,1.6293,1.6273,1.6292,1.6292,1.6279,1.6276,1.6283,1.6277,1.6279,1.628,1.6276,1.6287
7,2.2919,2.2919,2.2897,2.2897,2.2888,2.2882,2.2897,2.2898,2.2893,2.289,2.2896,2.2894,2.2891,2.2894
8,0.48745,0.48787,0.48841,0.48864,0.48843,0.48941,0.48839,0.48892,0.48861,0.48908,0.48844,0.48874,0.48924,0.48875
9,-0.0006596,-0.00063319,-0.00068928,-0.00057585,-0.00067373,-0.00059408,-0.00060557,-0.00061395,-0.00065262,-0.00060297,-0.00060479,-0.00059774,-0.00057516,-0.00065246
10,0.032485,0.032449,0.032458,0.032429,0.032445,0.032433,0.032458,0.032451,0.032454,0.032424,0.032436,0.032437,0.03242,0.032447
11,-0.0024906,-0.0024622,-0.0024729,-0.0024827,-0.0024737,-0.0024802,-0.0024828,-0.0024735,-0.0024787,-0.0024776,-0.0024822,-0.0024807,-0.0024769,-0.002481
12,0.0055994,0.0055762,0.0055939,0.005595,0.0055828,0.0055889,0.0055947,0.0055929,0.0055895,0.0055941,0.0055885,0.0055916,0.0055933,0.0055942
13,0.00013861,0.00012993,0.00013863,0.00013783,0.00014085,0.0001341,0.00013557,0.00013579,0.00013743,0.00013611,0.0001366,0.00013652,0.000136,0.00013593
14,2.8595e-05,3.2514e-05,2.9032e-05,2.9112e-05,2.8354e-05,3.114e-05,3.0865e-05,3.0772e-05,2.9977e-05,3.0459e-05,3.0178e-05,3.0326e-05,3.0445e-05,3.0857e-05
15,5.8549e-05,5.3803e-05,5.7448e-05,5.7065e-05,5.8503e-05,5.6243e-05,5.6222e-05,5.5872e-05,5.7196e-05,5.6513e-05,5.6633e-05,5.6618e-05,5.6054e-05,5.6329e-05
16,3.4871e-07,6.23e-07,4.4152e-07,5.3193e-07,4.609e-07,6.7178e-07,6.5336e-07,5.9136e-07,5.7326e-07,6.2332e-07,6.0556e-07,6.062e-07,6.4148e-07,5.9831e-07
