,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,532.85,531.54,525.14,526.56,522.81,528.72,531.19,524.77,525.23,523.91,523.91,525.91,525.77,525.14,525.14,525.04,526.37,524.18,525.49,525.49
1,-599.27,-595.19,-589.35,-591.67,-589.12,-593.58,-594.74,-589.86,-590.57,-589.49,-589.49,-590.85,-590.6,-590.69,-590.69,-590.18,-591.48,-589.23,-590.57,-590.57
2,-64.258,-66.072,-64.375,-63.63,-62.426,-63.822,-65.133,-63.651,-63.443,-63.222,-63.222,-63.781,-63.878,-63.226,-63.226,-63.614,-63.635,-63.681,-63.674,-63.674
3,-2.5409,-2.8091,-2.7557,-2.5145,-2.4558,-2.5761,-2.6127,-2.5496,-2.4916,-2.5002,-2.5002,-2.5709,-2.5873,-2.5188,-2.5188,-2.5488,-2.5487,-2.5725,-2.5458,-2.5458
4,-0.078121,-0.079679,-0.07915,-0.073768,-0.073373,-0.076327,-0.077497,-0.075484,-0.075033,-0.074414,-0.074414,-0.076195,-0.076042,-0.074795,-0.074795,-0.075232,-0.075357,-0.075572,-0.075272,-0.075272
5,5.8173,5.3039,5.5497,5.479,5.4999,5.4651,5.4582,5.4735,5.4484,5.4927,5.4927,5.4934,5.4704,5.4745,5.4745,5.4712,5.4834,5.4758,5.4787,5.4787
6,2.0389,1.8087,1.8211,1.771,1.7506,1.7783,1.7959,1.8086,1.7864,1.7893,1.7893,1.7962,1.8023,1.8122,1.8122,1.8006,1.7995,1.8054,1.8032,1.8032
7,0.024365,0.022911,0.01949,0.025051,0.01649,0.022124,0.022253,0.02234,0.022621,0.021794,0.021794,0.020382,0.020824,0.020375,0.020375,0.021565,0.020543,0.020798,0.020866,0.020866
8,0.002473,0.0021518,0.0035045,0.0024924,0.0050728,0.0017887,0.0022553,0.0019953,0.0018847,0.0022495,0.0022495,0.0028758,0.0027856,0.0029488,0.0029488,0.0023516,0.0028224,0.0027197,0.0026835,0.0026835
9,4.3972e-05,0.00012564,0.00067674,8.2334e-05,4.6021e-05,0.00030894,0.00010301,-3.2058e-05,6.8076e-05,-9.4487e-05,-9.4487e-05,-6.8374e-05,-6.9786e-05,-9.4907e-05,-9.4907e-05,-6.969e-05,-8.3865e-05,-7.3418e-05,-7.5286e-05,-7.5286e-05
10,-2.7347e-05,-7.3592e-05,-0.00013417,-9.3671e-05,-8.8393e-05,-0.00011185,-0.00011435,-6.5971e-05,-9.8343e-05,-5.0378e-05,-5.0378e-05,-7.358e-05,-7.1087e-05,-2.4478e-05,-2.4478e-05,-5.9067e-05,-4.5497e-05,-5.1325e-05,-4.4948e-05,-4.4948e-05
11,1.3149e-05,-2.196e-05,-1.2658e-05,-1.0056e-05,-2.5515e-05,-1.3898e-05,-1.3163e-05,-1.3873e-05,-2.3253e-07,3.384e-06,3.384e-06,2.1051e-06,2.424e-06,5.7092e-06,5.7092e-06,2.3253e-06,5.4988e-06,5.585e-06,7.4054e-06,7.4054e-06
12,5.9678e-06,8.4483e-07,7.9955e-06,2.0298e-06,9.4506e-06,6.7939e-06,7.3395e-06,2.226e-06,,,,,,,,,,,,
