,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,693.49,749.68,729.7,728.26,729.74,720.62,736.16,728.03,731.13,724.07,725.68,728.96,727.93,726.58,730.28,727.77,727.87,728.91,728.67,730.57,727.18,730.08,728.66,729.28,729.25,729.61,729.05,729.83,729.08,730.35,729.07,730.29,730.36,728.98
1,-751.99,-809.91,-791.34,-789.35,-793.92,-783.58,-798.95,-791.27,-792.7,-787.01,-787.95,-792.93,-790.95,-790.05,-792.94,-790.56,-791.3,-791.81,-791.7,-793.77,-790.12,-793.08,-791.82,-792.42,-792.2,-792.63,-792.02,-792.86,-792.18,-793.63,-792.35,-793.23,-793.31,-791.91
2,-89.674,-91.745,-90.597,-91.189,-88.5,-89.561,-89.736,-89.296,-90.739,-89.563,-90.189,-88.71,-89.357,-89.106,-89.844,-89.712,-89.133,-89.596,-89.476,-89.315,-89.547,-89.5,-89.355,-89.392,-89.547,-89.495,-89.529,-89.492,-89.427,-89.268,-89.277,-89.575,-89.58,-89.573
3,-5.7827,-4.8702,-4.9334,-5.0457,-4.6779,-4.9568,-5.0159,-4.9341,-5.1187,-4.9646,-5.0001,-4.7981,-5.0913,-4.8982,-4.961,-4.9552,-4.9091,-4.9651,-4.9657,-4.9489,-4.9737,-4.9585,-4.9512,-4.9322,-4.9691,-4.9509,-4.965,-4.9438,-4.9348,-4.9139,-4.912,-4.9426,-4.9336,-4.9679
4,-0.22066,-0.1786,-0.18471,-0.18435,-0.17447,-0.18972,-0.1913,-0.18622,-0.19176,-0.18606,-0.18355,-0.18085,-0.18812,-0.18345,-0.18522,-0.18421,-0.18373,-0.1861,-0.18364,-0.18466,-0.18547,-0.18429,-0.18359,-0.18425,-0.18402,-0.18372,-0.18496,-0.18393,-0.18324,-0.18322,-0.18186,-0.18446,-0.18414,-0.18473
5,6.4549,7.0488,6.6675,6.5011,6.5663,6.5276,6.5974,6.5647,6.5424,6.5353,6.5631,6.5943,6.6005,6.5799,6.5787,6.5667,6.5724,6.5723,6.5776,6.5741,6.5757,6.5774,6.5758,6.5785,6.5743,6.5756,6.5695,6.577,6.5762,6.5745,6.5749,6.5754,6.5757,6.5759
6,1.5664,2.4261,2.1879,2.0259,2.0691,2.2332,2.206,2.1471,2.1475,2.1952,2.1461,2.1531,2.1533,2.154,2.1522,2.1563,2.1542,2.1558,2.1565,2.1581,2.155,2.1506,2.1559,2.1518,2.1531,2.1542,2.1592,2.1562,2.154,2.157,2.1543,2.1536,2.1543,2.1546
7,0.079347,0.022589,0.018677,0.035372,0.02237,0.023604,0.018553,0.022514,0.026051,0.022674,0.026215,0.02318,0.025597,0.025916,0.025857,0.024838,0.025601,0.026204,0.02548,0.024848,0.0254,0.025973,0.024499,0.025036,0.025813,0.025381,0.025178,0.02431,0.025354,0.024869,0.025008,0.025443,0.025325,0.025287
8,0.010303,0.0067774,0.0044073,0.0026553,0.0044923,0.0022624,0.0035493,0.0022299,0.0013297,0.0021458,0.0013108,0.0030508,0.0015471,0.001335,0.0019818,0.0015832,0.002451,0.0016181,0.002295,0.0022784,0.0020038,0.0020564,0.002394,0.002316,0.0019854,0.0023649,0.0020722,0.0026559,0.0021163,0.0026976,0.0025792,0.0022221,0.0024758,0.0023707
9,0.0020032,0.0058014,0.0049957,0.0027105,0.0048215,0.002079,0.0046232,0.0023348,0.001344,0.0025433,0.0013166,0.00084885,0.0013868,0.0011356,0.00049631,0.0014493,-1.0984e-05,0.00059199,0.00021087,0.00054162,0.0005376,0.00021601,0.00061115,0.00039689,0.00035074,0.00013905,0.00060075,0.00047113,0.00042351,8.4487e-05,0.00013021,0.00026203,6.2298e-05,0.00018408
10,0.00044327,0.00021154,0.00033401,7.6894e-05,7.8224e-05,-1.6367e-05,4.87e-05,-4.5706e-05,-3.4844e-05,-9.9145e-05,-5.8019e-05,-2.1626e-05,-3.3047e-05,-8.6755e-05,-8.8584e-05,-0.00010653,-5.137e-05,-9.4086e-05,-6.22e-05,-0.00010775,-0.00011867,-9.7516e-05,-0.00010379,-9.7237e-05,-9.6441e-05,-9.5753e-05,-0.00011995,-0.000119,-9.7711e-05,-0.00010572,-0.00010925,-0.00011915,-9.3086e-05,-0.00010264
11,-4.6948e-05,-8.3672e-05,-8.5024e-05,-7.4367e-05,-0.00010881,-8.7295e-05,-0.00011864,-9.7476e-05,-8.2019e-05,-2.0345e-05,-8.431e-05,-0.00010036,-0.00010405,-5.1492e-05,-6.2126e-05,-5.5599e-05,-4.0586e-05,-4.2889e-05,-4.7405e-05,-2.4141e-05,-1.0746e-05,-2.9501e-05,-2.036e-05,-2.5322e-05,-2.6558e-05,-2.1862e-05,-6.4061e-06,-6.6481e-06,-2.3813e-05,-3.7824e-06,-3.8418e-06,-1.8397e-06,-1.7184e-05,-1.1643e-05
12,-3.0638e-05,-1.1255e-05,-1.6731e-05,-1.914e-05,-8.8022e-06,3.3168e-06,1.2539e-06,6.7017e-07,-2.5748e-06,1.3056e-05,7.2563e-07,-9.0171e-07,-1.952e-06,4.0898e-06,3.0859e-06,5.4878e-06,2.5579e-06,4.1729e-06,5.3062e-06,7.2156e-06,7.2367e-06,4.85e-06,8.0451e-06,7.099e-06,5.2938e-06,5.2352e-06,,,7.1535e-06,,,,4.3346e-06,6.7776e-06
13,2.7455e-06,-1.2198e-05,3.0046e-06,-5.7518e-07,,,,,,-4.8106e-06,,,,,,,,,,,,,,,,,,,,,,,,
14,,1.1826e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
