,0,1,2,3,4,5,6,7,8,9,10,11
0,134.95,135.16,135.45,135.09,135.16,135.04,135.0,134.96,135.2,134.77,135.29,135.16
1,-259.16,-259.28,-259.57,-259.24,-259.28,-259.19,-259.18,-259.14,-259.34,-258.96,-259.4,-259.3
2,-17.367,-17.45,-17.449,-17.41,-17.457,-17.422,-17.395,-17.396,-17.43,-17.387,-17.464,-17.429
3,-0.36302,-0.366,-0.36425,-0.36703,-0.36662,-0.3647,-0.36446,-0.36308,-0.36716,-0.36518,-0.36713,-0.36471
4,-0.002528,-0.0025336,-0.002521,-0.0025455,-0.002557,-0.0025394,-0.0025373,-0.0025357,-0.0025569,-0.0025527,-0.0025254,-0.0025207
5,15.861,15.86,15.861,15.861,15.861,15.86,15.861,15.86,15.86,15.86,15.861,15.86
6,1.9091,1.9084,1.9087,1.9075,1.908,1.9085,1.9082,1.9082,1.9083,1.9085,1.9079,1.9085
7,0.088939,0.088854,0.088992,0.089179,0.088505,0.08969,0.088727,0.088384,0.088703,0.088678,0.088679,0.088704
8,0.038986,0.038742,0.038745,0.038633,0.03932,0.038366,0.039121,0.039559,0.039161,0.039049,0.039226,0.039141
9,2.5167e-05,-0.00018554,-9.2617e-05,-2.7221e-05,1.4588e-05,6.4647e-06,0.00013555,7.2769e-05,0.00013811,0.00014707,0.00023642,0.00014122
10,0.0011591,0.0011471,0.0011671,0.0011945,0.0011606,0.0011235,0.0010994,0.0011156,0.0010992,0.0010819,0.00099694,0.0010895
11,2.977e-05,0.0001107,6.9367e-05,2.8431e-05,4.738e-05,4.7833e-05,2.6727e-05,3.466e-05,3.2592e-05,3.1137e-05,3.5386e-05,3.4857e-05
12,2.5592e-05,2.7228e-05,3.075e-05,2.5949e-05,2.7224e-05,2.5985e-05,2.5146e-05,2.715e-05,2.7512e-05,2.6191e-05,2.9493e-05,2.9516e-05
13,4.3719e-06,8.702e-06,4.1388e-06,5.3075e-06,6.9973e-06,4.9673e-06,6.4198e-06,5.4271e-06,5.0236e-06,8.1013e-06,1.0292e-05,8.1451e-06
14,,,,,,,,,,,1.5792e-06,
