,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,153.16,152.72,152.7,152.63,152.91,153.04,152.78,152.87,152.64,152.94,153.05,152.79,152.8,152.8,152.47,152.47,152.9,152.95,152.66,152.99,152.9,152.95
1,-290.95,-290.72,-290.68,-290.67,-290.83,-290.97,-290.69,-290.79,-290.61,-290.86,-290.95,-290.73,-290.73,-290.73,-290.41,-290.41,-290.82,-290.85,-290.62,-290.89,-290.83,-290.92
2,-21.265,-21.052,-21.079,-21.015,-21.131,-21.119,-21.14,-21.137,-21.084,-21.129,-21.145,-21.11,-21.116,-21.116,-21.105,-21.105,-21.136,-21.154,-21.089,-21.154,-21.12,-21.087
3,-0.62612,-0.61755,-0.61483,-0.61326,-0.62131,-0.61653,-0.62054,-0.61871,-0.61326,-0.61863,-0.62292,-0.61809,-0.61778,-0.61778,-0.61928,-0.61928,-0.61941,-0.62087,-0.61866,-0.62209,-0.61931,-0.6157
4,-0.0092343,-0.0091427,-0.0090539,-0.0091025,-0.0091437,-0.0091119,-0.009261,-0.0091002,-0.0091097,-0.0091545,-0.0092286,-0.009137,-0.0091114,-0.0091114,-0.0091603,-0.0091603,-0.0091805,-0.0091883,-0.0091747,-0.0092155,-0.0091701,-0.009136
5,17.841,17.837,17.839,17.838,17.838,17.84,17.839,17.838,17.839,17.839,17.838,17.838,17.838,17.838,17.839,17.839,17.838,17.839,17.839,17.839,17.839,17.839
6,2.1493,2.1518,2.1498,2.1516,2.151,2.1505,2.151,2.1511,2.151,2.1509,2.1511,2.1511,2.1514,2.1514,2.1509,2.1509,2.1512,2.1512,2.1511,2.1512,2.1511,2.151
7,0.10206,0.10127,0.10324,0.10177,0.10203,0.10227,0.1019,0.1016,0.10176,0.10178,0.10177,0.10185,0.10194,0.10194,0.10195,0.10195,0.10193,0.10197,0.10188,0.10186,0.10187,0.10184
8,0.039974,0.042054,0.035736,0.040179,0.040509,0.040145,0.040976,0.041718,0.041447,0.040978,0.041309,0.041308,0.041264,0.041264,0.040829,0.040829,0.041257,0.040982,0.041265,0.041289,0.040822,0.04096
9,0.0010664,8.3927e-05,0.0041899,0.001322,0.00074263,0.00057311,0.00038574,0.00019979,0.0001259,0.00049616,0.00018341,0.00014871,0.00012459,0.00012459,0.00050829,0.00050829,0.0001474,0.00026234,0.00012167,0.00012288,0.0005725,0.00045461
10,0.00034978,0.00037145,0.00020343,0.00045697,0.00030812,0.00056828,0.00052443,0.00072468,0.00044695,0.00055015,0.00072387,0.00063579,0.00067065,0.00067065,0.00059724,0.00059724,0.00060903,0.0010077,0.00086517,0.0007635,0.00059318,0.00072205
11,0.0012837,0.0012661,0.0012945,0.0012107,0.001315,0.0011364,0.0011711,0.00083242,0.0011586,0.0011476,0.00099693,0.0010527,0.00096416,0.00096416,0.001116,0.001116,0.00099261,0.00072302,0.00080728,0.00089595,0.0011244,0.0010111
12,8.5897e-05,2.4989e-05,9.5538e-05,2.7125e-05,7.0164e-05,2.3351e-05,3.1454e-05,1.2945e-05,5.5559e-05,3.3665e-05,2.1185e-05,2.7404e-05,1.6636e-05,1.6636e-05,2.0294e-05,2.0294e-05,1.5751e-05,1.2407e-05,1.4143e-05,1.2189e-05,1.8753e-05,1.4859e-05
13,1.2044e-05,1.8554e-05,2.2264e-05,2.0409e-05,1.0357e-05,1.7427e-05,1.8211e-05,1.8483e-05,1.6418e-05,1.5996e-05,1.9738e-05,1.7371e-05,1.8765e-05,1.8765e-05,1.8389e-05,1.8389e-05,1.8852e-05,1.8409e-05,1.98e-05,1.8143e-05,1.8726e-05,1.8216e-05
14,1.1235e-05,3.2225e-06,1.0701e-05,3.4667e-06,9.8303e-06,2.916e-06,3.8972e-06,2.7538e-06,3.965e-06,3.6906e-06,2.9649e-06,3.0829e-06,3.0572e-06,3.0572e-06,2.6083e-06,2.6083e-06,2.9996e-06,2.4905e-06,3.1064e-06,2.2201e-06,3.3614e-06,2.9675e-06
15,3.0549e-06,,3.4968e-06,,,,,,,,,,,,,,,,,,,
