,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,108.42,101.6,103.98,100.77,104.81,102.73,102.43,103.37,103.19,103.42,102.91,103.07,103.67,103.39,103.4,103.51,103.41,103.51,103.41
1,-109.16,-103.13,-105.2,-102.38,-105.93,-104.17,-103.85,-104.69,-104.52,-104.74,-104.27,-104.43,-104.97,-104.71,-104.73,-104.82,-104.74,-104.82,-104.73
2,-8.3577,-7.5782,-7.9231,-7.5269,-7.9899,-7.6962,-7.7126,-7.8075,-7.7994,-7.8113,-7.7807,-7.7805,-7.838,-7.8218,-7.8005,-7.8198,-7.7969,-7.8249,-7.8068
3,-0.038353,-0.031331,-0.035474,-0.031441,-0.035183,-0.032612,-0.032997,-0.033618,-0.033577,-0.033806,-0.033688,-0.033785,-0.034079,-0.033973,-0.033608,-0.033795,-0.033671,-0.033969,-0.033767
4,-3.3666e-06,-2.5416e-06,-2.9656e-06,-2.4751e-06,-2.9285e-06,-2.6871e-06,-2.7068e-06,-2.7764e-06,-2.7504e-06,-2.7765e-06,-2.8039e-06,-2.7905e-06,-2.8379e-06,-2.8158e-06,-2.7666e-06,-2.7887e-06,-2.7752e-06,-2.806e-06,-2.7725e-06
5,0.99765,0.9978,1.0198,1.0385,1.042,1.0445,1.0395,1.0384,1.0387,1.0398,1.0397,1.0397,1.038,1.0405,1.0378,1.0397,1.0375,1.0391,1.0376
6,0.69335,0.69322,0.6725,0.661,0.65925,0.65946,0.66362,0.66287,0.65973,0.66303,0.66292,0.66257,0.66412,0.66128,0.66287,0.66167,0.66347,0.66249,0.66362
7,0.019792,0.019711,0.020541,0.022503,0.023699,0.02358,0.0225,0.022765,0.022607,0.022891,0.023045,0.022974,0.022764,0.02271,0.02272,0.022779,0.022725,0.02264,0.022692
8,0.0046556,0.0045554,0.0041434,0.0032715,0.0028206,0.0028052,0.0032356,0.0031509,0.0031979,0.0030332,0.0030463,0.0030238,0.00313,0.0031511,0.0031639,0.0031332,0.0031512,0.0031874,0.0031776
9,-9.1887e-06,1.7922e-05,1.0316e-05,2.7428e-06,-7.7345e-06,-1.1588e-06,5.5754e-06,7.962e-07,2.9555e-06,6.575e-06,-9.48e-07,3.9713e-06,3.898e-06,2.8268e-06,2.124e-06,2.3031e-06,3.2815e-06,3.2759e-06,2.6118e-06
10,,2.7535e-06,3.0305e-06,,,,,,,,,,,,,,,,
