,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,157.46,168.41,155.44,164.28,160.96,160.21,161.83,161.35,160.59,161.08,161.96,161.54,160.48,160.48,161.97,161.14,160.86,161.16,161.3,161.36
1,-212.59,-220.05,-209.65,-217.14,-214.42,-213.81,-215.05,-214.63,-213.87,-214.41,-215.19,-214.72,-213.85,-213.85,-215.09,-214.36,-214.25,-214.37,-214.57,-214.67
2,-26.3,-29.327,-27.001,-28.462,-27.906,-27.799,-28.175,-28.108,-28.126,-28.087,-28.166,-28.217,-28.044,-28.044,-28.273,-28.169,-28.033,-28.19,-28.141,-28.103
3,-1.038,-1.2442,-1.1044,-1.129,-1.0826,-1.1211,-1.1448,-1.1303,-1.1238,-1.1064,-1.1358,-1.1322,-1.118,-1.118,-1.1279,-1.1373,-1.1117,-1.1308,-1.122,-1.1166
4,-0.0095507,-0.011371,-0.010224,-0.010259,-0.0097634,-0.010076,-0.010316,-0.010084,-0.010052,-0.0099083,-0.010152,-0.010148,-0.010047,-0.010047,-0.010074,-0.010141,-0.0099617,-0.010159,-0.010029,-0.010021
5,10.308,10.957,10.185,10.391,10.313,10.434,10.464,10.439,10.432,10.426,10.456,10.472,10.447,10.447,10.446,10.449,10.449,10.449,10.452,10.452
6,0.39202,0.37052,0.39584,0.44842,0.52438,0.50048,0.49399,0.50633,0.47595,0.46908,0.46115,0.45247,0.45426,0.45426,0.45074,0.46427,0.46878,0.46195,0.46237,0.46252
7,0.072653,0.057913,0.08058,0.077886,0.082867,0.084845,0.082082,0.079291,0.081883,0.080254,0.079377,0.07842,0.078955,0.078955,0.081353,0.081218,0.080183,0.079737,0.078956,0.08143
8,0.0016941,0.0017836,0.0018958,0.0010907,0.0032477,0.002524,0.0029688,0.0059954,0.0017539,0.0027432,0.0025989,0.002775,0.0028085,0.0028085,0.0012148,0.0016903,0.0022645,0.0024132,0.0029599,0.001422
9,0.0036324,0.01917,0.0010253,0.0016072,0.001775,0.0007658,0.0010147,0.00077354,0.00029547,0.0002666,0.00044297,0.00048132,0.0003422,0.0003422,0.00047129,0.00049279,0.0005286,0.00043978,0.00033788,0.00058796
10,-0.00021228,-0.00022017,-5.2275e-05,-7.6703e-05,0.00013623,0.00011658,3.8862e-05,2.6706e-05,0.00056084,0.00057679,0.00065043,0.00068124,0.00059581,0.00059581,0.00045804,0.00087805,0.00059447,0.00077335,0.0007293,0.00065091
11,0.00057013,0.00055278,0.00047996,0.00053147,0.00022163,0.00042538,0.00043101,0.00022903,0.00035957,0.00028906,0.00043516,0.0005038,0.00034699,0.00034699,0.00045205,0.0001065,0.00055385,0.00033626,0.00038249,0.00033304
12,5.7832e-05,0.0002054,4.5573e-05,8.929e-05,0.00010828,7.0683e-05,8.8422e-05,8.9895e-05,7.9089e-05,6.6464e-05,5.5324e-05,7.4063e-05,7.5678e-05,7.5678e-05,5.3484e-05,7.3922e-05,7.7532e-05,7.2237e-05,7.4788e-05,6.743e-05
13,0.00012214,7.7104e-05,2.6103e-05,9.5112e-05,2.8732e-05,2.9573e-05,7.4474e-06,5.5737e-05,6.3022e-06,2.3197e-05,1.5199e-05,2.6389e-06,1.4597e-06,1.4597e-06,1.6261e-06,1.8508e-06,2.4503e-06,9.4445e-07,1.0396e-06,9.0689e-07
14,3.2111e-07,4.0499e-05,2.4909e-06,7.0744e-06,1.1118e-05,1.4465e-05,,1.3194e-05,,3.5403e-06,6.2054e-06,,,,,,,,,
15,,8.564e-06,,,1.2834e-07,3.7074e-07,,1.0737e-06,,,,,,,,,,,,
