,0,1,2,3,4,5,6
0,27.828,27.924,28.659,28.603,28.515,28.456,28.412
1,-54.194,-54.165,-54.791,-54.713,-54.636,-54.607,-54.571
2,-4.4761,-4.684,-4.7833,-4.8015,-4.7923,-4.7633,-4.7548
3,-0.034994,-0.03915,-0.040986,-0.040973,-0.041375,-0.040664,-0.040703
4,-1.3695e-05,-1.5232e-05,-1.6031e-05,-1.6295e-05,-1.6564e-05,-1.6039e-05,-1.6143e-05
5,3.786,3.8795,3.8977,3.8954,3.8983,3.8982,3.8982
6,0.11587,0.19821,0.19524,0.19412,0.19238,0.19158,0.19177
7,0.031783,0.036646,0.034425,0.032109,0.032228,0.03255,0.032703
8,0.00014843,-0.00027205,0.00013169,0.0014496,0.0012647,0.0010268,0.00093096
9,1.1337e-05,7.8507e-05,0.00020474,0.00022949,0.00021582,0.0002023,0.00021004
10,8.0593e-05,4.9054e-05,6.488e-06,6.1179e-06,5.3536e-06,1.6481e-05,7.9647e-06
11,6.6209e-06,-1.8391e-07,,,,1.029e-05,
12,,,,,,-1.5054e-06,
