,0,1,2,3,4,5,6,7,8,9
0,50.469,50.745,50.524,50.237,50.358,50.316,50.376,50.325,50.398,50.263
1,-82.335,-82.68,-82.697,-82.302,-82.494,-82.413,-82.464,-82.415,-82.48,-82.359
2,-9.2707,-9.1904,-8.9407,-9.0518,-8.9839,-9.0213,-9.0297,-9.0287,-9.0361,-9.0231
3,-0.17029,-0.15973,-0.14904,-0.1529,-0.14997,-0.15346,-0.15393,-0.15349,-0.15385,-0.15331
4,-0.00030609,-0.00029859,-0.00027697,-0.00028672,-0.00027785,-0.00028495,-0.00028708,-0.00028622,-0.0002863,-0.00028531
5,5.287,5.1735,5.1851,5.1957,5.1946,5.1966,5.1984,5.1983,5.1987,5.1985
6,0.28447,0.26483,0.25286,0.2592,0.25958,0.25723,0.25583,0.25617,0.25654,0.25665
7,0.03648,0.047532,0.042173,0.038655,0.041013,0.042811,0.04212,0.041716,0.04179,0.041977
8,0.01005,-0.00041092,0.00088325,0.0041836,0.0023963,0.00096029,0.0014442,0.0017184,0.0016491,0.001538
9,-9.3922e-05,1.1952e-05,0.00014229,0.00016391,0.00013379,0.00010842,0.00012756,0.00012012,0.0001356,0.00016959
10,0.00032697,0.00012454,7.2676e-05,1.0141e-05,5.293e-05,0.00012911,8.2534e-05,7.6162e-05,6.7453e-05,3.7323e-05
11,5.4394e-05,7.5779e-06,3.4549e-05,2.6567e-05,2.6818e-05,2.3974e-05,2.7994e-05,2.8085e-05,2.7764e-05,2.8155e-05
12,1.8873e-06,,-5.148e-07,-3.6735e-06,-2.7472e-07,4.5638e-06,2.0313e-07,2.3869e-08,-1.6465e-07,-3.3009e-06
