,0,1,2,3,4,5,6,7,8,9
0,51.073,51.154,50.196,51.053,50.122,50.045,50.212,50.506,50.379,50.416
1,-82.901,-83.172,-82.371,-83.113,-82.317,-82.221,-82.317,-82.51,-82.472,-82.511
2,-9.2684,-9.0694,-8.9191,-9.0566,-8.9206,-8.947,-9.0152,-9.1115,-9.0271,-9.0231
3,-0.15896,-0.15556,-0.1502,-0.15328,-0.15028,-0.15023,-0.15387,-0.15627,-0.15232,-0.15377
4,-0.00029178,-0.00028676,-0.00027485,-0.0002888,-0.0002767,-0.00027941,-0.00028762,-0.00029212,-0.00028406,-0.00028703
5,5.6028,5.2671,5.1428,5.194,5.1895,5.199,5.1973,5.1982,5.1985,5.1991
6,0.24374,0.23296,0.26393,0.25909,0.26396,0.25793,0.26044,0.25635,0.25624,0.25599
7,0.015008,0.046066,0.047906,0.041952,0.038055,0.041623,0.041685,0.041787,0.042494,0.042217
8,0.02666,-0.00052057,4.4752e-05,0.0012717,0.0054463,0.0018797,0.001917,0.0016643,0.0011658,0.0013519
9,0.00038892,3.7873e-05,4.8202e-06,4.7058e-05,-3.008e-06,8.9048e-05,9.4265e-05,0.00017214,5.4388e-05,0.00019616
10,0.00088974,0.00024756,,0.00015645,0.00017254,0.00010303,0.00010421,2.1199e-05,0.00016774,1.7341e-05
11,0.00041736,3.5319e-06,,1.8445e-05,1.0791e-05,2.628e-05,3.0304e-05,2.8707e-05,3.0143e-05,2.7748e-05
12,0.00023207,,,6.4114e-06,1.1601e-06,2.0476e-07,1.0349e-06,-3.9828e-07,2.1147e-08,-1.145e-06
13,-2.9981e-06,,,,,,,,,
