,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,198.36,198.36,194.69,191.39,193.09,189.54,193.67,191.08,192.16,194.89,194.27,193.78,192.79,192.71,193.54,194.35,193.98,193.57,194.9,193.5
1,-255.78,-255.78,-252.59,-250.54,-252.94,-248.91,-253.04,-250.12,-251.2,-253.64,-253.24,-252.45,-251.56,-251.86,-252.48,-253.11,-252.63,-252.41,-253.73,-252.37
2,-34.154,-34.154,-33.474,-32.321,-31.511,-31.985,-31.993,-32.393,-32.373,-32.694,-32.478,-32.749,-32.657,-32.305,-32.516,-32.665,-32.765,-32.604,-32.619,-32.557
3,-1.4403,-1.4403,-1.3911,-1.3971,-1.3186,-1.4445,-1.3553,-1.378,-1.4201,-1.4109,-1.3875,-1.4271,-1.4337,-1.3901,-1.3919,-1.4204,-1.4336,-1.4063,-1.4028,-1.4177
4,-0.015102,-0.015102,-0.014765,-0.014697,-0.013581,-0.014755,-0.014065,-0.014433,-0.014895,-0.01465,-0.014499,-0.014668,-0.01486,-0.014467,-0.014517,-0.014871,-0.014926,-0.014731,-0.014584,-0.014753
5,10.228,10.228,11.571,11.759,11.817,11.69,11.722,11.765,11.734,11.759,11.757,11.772,11.762,11.766,11.775,11.773,11.768,11.78,11.785,11.775
6,0.50439,0.50439,0.38824,0.71416,0.45067,0.5487,0.50214,0.50927,0.51434,0.50056,0.52046,0.49783,0.52157,0.50054,0.50741,0.49818,0.49939,0.49357,0.49355,0.49717
7,0.098497,0.098497,0.1009,0.083191,0.096984,0.097432,0.080863,0.089995,0.094862,0.092735,0.092309,0.091698,0.093402,0.094063,0.095484,0.093351,0.096228,0.091645,0.089789,0.091756
8,0.0018062,0.0018062,0.0033839,0.023149,-0.002536,0.0036818,0.0079823,0.0060927,0.003452,0.0033814,0.0046325,0.0020733,0.0043808,0.0027408,0.0015575,0.0030538,0.0015477,0.0036957,0.0049197,0.004446
9,4.1569e-05,4.1569e-05,0.0025607,0.017345,0.0040259,0.00060543,0.0053219,0.001611,0.0010316,0.0011764,0.0016677,0.0029011,0.00055879,0.0012802,0.0016854,0.0010416,0.00094778,0.0011618,0.0010825,0.00045984
10,4.5863e-05,4.5863e-05,0.00011054,-0.0015801,-3.5284e-05,0.00037183,0.00042743,0.0006085,0.00027753,0.00030878,0.00051657,0.00043047,0.00061776,0.0003397,0.00037994,0.00059952,0.00038489,0.00042757,0.00054239,0.00065143
11,0.00017556,0.00017556,0.00044136,0.0012622,0.00042299,0.00046686,0.00018738,0.00021124,0.00048671,0.00042282,0.00053377,0.00051438,0.00050371,0.0004786,0.00064372,0.00034871,0.00060113,0.0006724,0.00047709,0.00036465
12,8.4639e-06,8.4639e-06,3.3151e-05,9.0999e-05,2.493e-05,5.8277e-05,0.00023207,8.6251e-05,5.1381e-05,4.906e-05,6.5738e-05,6.0791e-05,5.5353e-05,7.0708e-05,3.8698e-05,4.7133e-05,3.6039e-05,2.9835e-05,4.2349e-05,5.9826e-05
13,,,2.7161e-05,0.00028263,5.9076e-05,0.00011621,5.7437e-05,0.00015815,0.00010318,9.5525e-05,0.00013497,5.5062e-05,8.951e-05,6.1108e-05,6.8788e-05,8.9619e-05,6.8964e-05,7.4604e-05,9.3955e-05,6.1794e-05
14,,,1.7005e-06,5.2888e-05,1.2177e-05,5.335e-06,9.0184e-06,4.2193e-06,4.7894e-06,5.002e-06,3.5781e-06,2.424e-06,8.4678e-06,1.9051e-06,1.8736e-06,5.1234e-06,4.5168e-06,1.9199e-06,3.1761e-06,2.3054e-06
15,,,,4.6942e-05,2.7091e-05,,,,,,,,,,,,,,,
16,,,,4.5538e-06,1.2558e-07,,,,,,,,,,,,,,,
