,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,118.33,119.9,118.47,118.47,118.53,119.09,120.98,121.31,121.73,120.99,119.79,119.57,120.72,120.27,120.53,120.93,120.13,120.42,121.08,120.16
1,-260.13,-260.07,-258.97,-258.97,-258.73,-259.62,-261.19,-261.43,-261.84,-261.27,-260.23,-259.84,-260.92,-260.53,-260.77,-261.1,-260.4,-260.65,-261.26,-260.39
2,-10.266,-10.362,-10.037,-10.037,-10.424,-10.188,-10.417,-10.471,-10.484,-10.319,-10.18,-10.329,-10.405,-10.36,-10.362,-10.439,-10.344,-10.376,-10.424,-10.375
3,-0.066718,-0.063493,-0.061217,-0.061217,-0.066947,-0.064327,-0.066707,-0.067626,-0.067208,-0.06538,-0.063862,-0.066153,-0.066671,-0.065845,-0.066158,-0.067653,-0.066046,-0.066608,-0.066856,-0.066482
4,-0.00032023,-0.00031063,-0.00030254,-0.00030254,-0.00031764,-0.00030688,-0.00031692,-0.00032347,-0.00032118,-0.00031502,-0.00030721,-0.0003146,-0.00031908,-0.00031523,-0.00031628,-0.00032131,-0.00031621,-0.00031834,-0.00031957,-0.00031794
5,5.5801,5.3776,5.4558,5.4558,5.3303,5.4275,5.4331,5.4084,5.4278,5.4117,5.4088,5.4079,5.406,5.4039,5.4105,5.4083,5.4094,5.407,5.4078,5.4084
6,2.2834,2.1854,2.2075,2.2075,2.0935,2.1198,2.1527,2.0962,2.1246,2.1157,2.1314,2.1318,2.1251,2.1171,2.1254,2.129,2.1298,2.1283,2.1325,2.1301
7,0.011846,0.010426,0.012777,0.012777,0.0087039,0.013771,-0.010823,-0.00037439,-0.0032812,0.0089984,0.0094686,0.0055034,0.006196,0.0023337,0.0021281,0.0037568,0.0060079,0.0028949,0.0056491,0.0034108
8,0.0024349,0.0028438,0.0040664,0.0040664,0.0045236,0.00058401,0.024986,0.014131,0.017548,0.0040002,0.0041279,0.0077874,0.006701,0.010666,0.011156,0.0095248,0.0073473,0.010236,0.0075485,0.0099112
9,1.1747e-05,-2.464e-05,6.9553e-05,6.9553e-05,-4.3854e-05,-1.7578e-05,-0.00015309,-6.93e-05,-8.1921e-05,-3.7142e-05,-2.4848e-05,-5.9815e-05,-5.2599e-05,-6.8071e-05,-6.8314e-05,-6.7461e-05,-5.7676e-05,-7.4517e-05,-5.4548e-05,-6.6519e-05
10,1.9837e-06,1.4341e-06,1.0973e-05,1.0973e-05,1.1141e-05,5.0185e-06,1.887e-05,8.0353e-06,6.452e-06,6.6409e-06,6.6549e-06,9.0808e-06,1.1277e-05,1.182e-05,1.0748e-05,9.8114e-06,1.0277e-05,1.2914e-05,9.9538e-06,1.0563e-05
11,,,7.5093e-06,7.5093e-06,8.9288e-06,,7.7188e-06,,,,,,6.074e-06,7.1349e-06,4.6618e-06,,3.7731e-06,4.6742e-06,,4.6151e-06
