,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,87.51,87.51,86.943,86.943,88.056,87.823,87.823,87.392,86.848,86.934,87.3,87.556,87.558,87.61,87.504,87.189,87.107,87.148,86.844,87.561,87.465,87.363,87.119,87.441,87.363,87.149,87.487,87.53,87.366,87.335,87.472,87.304,87.417
1,-162.63,-162.63,-163.97,-163.97,-164.87,-164.65,-164.65,-164.26,-163.79,-163.79,-164.15,-164.37,-164.32,-164.44,-164.36,-164.06,-163.97,-164.04,-163.74,-164.41,-164.3,-164.22,-164.0,-164.3,-164.21,-164.02,-164.34,-164.36,-164.21,-164.19,-164.3,-164.15,-164.28
2,-5.3397,-5.3397,-5.2357,-5.2357,-5.2884,-5.3402,-5.3402,-5.277,-5.2379,-5.3117,-5.302,-5.3148,-5.408,-5.3487,-5.3137,-5.2963,-5.2933,-5.2816,-5.2865,-5.3252,-5.3214,-5.3115,-5.2855,-5.311,-5.3241,-5.2989,-5.3136,-5.336,-5.3235,-5.3106,-5.3386,-5.3204,-5.308
3,-0.017866,-0.017866,-0.017916,-0.017916,-0.018306,-0.018643,-0.018643,-0.018039,-0.01784,-0.018397,-0.018386,-0.018478,-0.018705,-0.018569,-0.018341,-0.018248,-0.01824,-0.018098,-0.018189,-0.018367,-0.018376,-0.018273,-0.018186,-0.018259,-0.018361,-0.018244,-0.0183,-0.018414,-0.018415,-0.018273,-0.018446,-0.018384,-0.018271
4,-8.6423e-05,-8.6423e-05,-8.3261e-05,-8.3261e-05,-8.4801e-05,-8.672e-05,-8.672e-05,-8.4211e-05,-8.2709e-05,-8.5603e-05,-8.5464e-05,-8.5907e-05,-8.6485e-05,-8.6117e-05,-8.5287e-05,-8.4709e-05,-8.468e-05,-8.4108e-05,-8.4584e-05,-8.5237e-05,-8.5176e-05,-8.4959e-05,-8.4578e-05,-8.4698e-05,-8.5224e-05,-8.4784e-05,-8.4935e-05,-8.5449e-05,-8.5477e-05,-8.4836e-05,-8.5568e-05,-8.5247e-05,-8.4927e-05
5,2.8737,2.8737,2.9528,2.9528,2.9728,2.9526,2.9526,2.9387,2.9581,2.9573,2.9647,2.9442,2.9533,2.9563,2.9551,2.954,2.9557,2.9516,2.9544,2.9577,2.9611,2.9531,2.952,2.9548,2.9539,2.9534,2.9544,2.9541,2.9535,2.9534,2.9539,2.9534,2.9538
6,1.1698,1.1698,1.2017,1.2017,1.2085,1.1631,1.1631,1.1586,1.1552,1.159,1.1433,1.1556,1.1645,1.1798,1.1566,1.1601,1.1543,1.1629,1.1611,1.1617,1.156,1.1603,1.1606,1.1596,1.1602,1.1603,1.16,1.1594,1.1608,1.1624,1.1604,1.1604,1.1602
7,0.0070348,0.0070348,0.0021473,0.0021473,0.0029149,0.0046153,0.0046153,0.0028312,-0.0077452,-0.0034154,-0.0091393,0.00029613,-0.0025199,-0.0018016,-9.8029e-05,6.8766e-05,-0.0060418,0.0015878,0.001089,0.0012597,-0.00033552,-0.00053766,0.0010251,-0.00023114,0.00026977,-0.00019948,-0.00050242,-0.00020133,0.00026276,-0.00017745,-0.00036687,-0.00020075,-0.0003376
8,-0.0023661,-0.0023661,0.0019001,0.0019001,0.0021234,0.00060395,0.00060395,0.0016279,0.013641,0.0087357,0.014984,0.0047014,0.0076601,0.0068462,0.0050761,0.0049149,0.011412,0.0033349,0.0038573,0.0035774,0.005402,0.0054987,0.0038347,0.0052295,0.0046856,0.0051311,0.0054893,0.0051584,0.0045908,0.0051106,0.0053338,0.0051097,0.0053059
9,0.0054128,0.0054128,2.3333e-05,2.3333e-05,-2.3384e-05,-3.0045e-05,-3.0045e-05,-1.7376e-05,-0.00011398,-7.7841e-05,-0.00014369,-3.9156e-05,-6.9901e-05,-2.4817e-05,-4.8385e-05,-3.7089e-05,-0.00010117,-2.1706e-05,-3.7874e-05,-3.0304e-05,-4.1534e-05,-3.5865e-05,-2.4418e-05,-4.1463e-05,-3.0449e-05,-3.5484e-05,-4.133e-05,-3.4301e-05,-3.1731e-05,-3.8347e-05,-3.8166e-05,-3.609e-05,-4.0153e-05
10,-0.0054576,-0.0054576,3.1543e-06,3.1543e-06,4.8157e-06,6.3934e-06,6.3934e-06,4.6739e-06,1.1238e-05,9.2522e-06,1.4561e-05,5.8859e-06,6.8313e-06,7.6351e-06,6.3418e-06,5.5114e-06,1.3672e-05,5.1652e-06,7.0812e-06,4.3553e-06,6.2116e-06,6.5507e-06,6.1203e-06,7.2344e-06,5.8405e-06,5.823e-06,7.2864e-06,6.4707e-06,5.9894e-06,6.2441e-06,6.8421e-06,7.0532e-06,7.3474e-06
11,3.1025e-06,3.1025e-06,,,,,,,2.7521e-06,,7.6556e-06,,,,,,3.5151e-06,,,,,,,,,,,,,,,,
