,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,313.51,325.17,325.17,323.25,319.75,321.76,321.43,322.47,321.42,320.14,321.78,319.65,322.07,319.61,321.45,321.53,321.43,320.2,320.9,320.5
1,-322.58,-335.78,-335.78,-334.12,-330.37,-332.04,-331.51,-332.55,-331.4,-330.42,-331.87,-330.18,-332.01,-329.81,-331.77,-331.64,-331.58,-330.51,-331.01,-330.66
2,-28.33,-28.238,-28.238,-28.223,-27.598,-28.763,-28.81,-28.776,-28.802,-28.53,-28.999,-28.473,-28.818,-28.73,-28.61,-28.786,-28.753,-28.539,-28.744,-28.843
3,-1.5903,-1.191,-1.191,-0.85454,-1.7249,-0.9136,-1.0842,-1.0984,-1.1927,-1.1571,-0.89563,-0.99109,-1.2288,-1.0601,-1.0495,-1.0812,-1.0832,-1.1362,-1.1294,-0.98502
4,-0.054021,-0.03439,-0.03439,-0.01042,-0.042942,-0.01879,-0.02136,-0.027056,-0.027731,-0.027246,-0.018131,-0.016784,-0.026843,-0.022969,-0.023519,-0.025703,-0.026546,-0.026361,-0.02547,-0.020632
5,1.0742,1.0183,1.0183,1.0342,1.0493,1.0498,1.0552,1.0531,1.0519,1.0543,1.0562,1.0537,1.0551,1.0547,1.0561,1.0569,1.0553,1.0563,1.0562,1.0563
6,0.29877,0.2696,0.2696,0.26878,0.27908,0.27838,0.28019,0.27914,0.28087,0.28257,0.28333,0.2825,0.28235,0.28179,0.28298,0.28214,0.28228,0.28135,0.28186,0.28146
7,-0.012848,-0.012281,-0.012281,-0.011778,-0.012454,-0.012251,-0.012525,-0.012324,-0.012494,-0.012463,-0.012421,-0.01254,-0.012511,-0.012264,-0.012521,-0.012598,-0.012583,-0.01256,-0.0125,-0.012568
8,0.002293,0.0015481,0.0015481,0.0017167,0.0022857,0.0018292,0.0021678,0.0017816,0.0020739,0.0021254,0.0021493,0.0021241,0.0021479,0.0018865,0.0021695,0.0022153,0.0022246,0.0021703,0.0021293,0.0020924
9,6.2192e-05,6.7139e-05,6.7139e-05,7.396e-05,5.8942e-06,7.1351e-05,6.6439e-05,7.2173e-05,4.8687e-05,6.7024e-05,5.2906e-05,5.7808e-05,5.8881e-05,6.9408e-05,6.444e-05,6.48e-05,6.6551e-05,6.8517e-05,6.5541e-05,6.207e-05
10,1.0156e-05,5.4154e-06,5.4154e-06,4.148e-06,6.409e-05,5.9098e-06,3.1243e-06,5.8871e-06,2.5354e-05,4.2834e-06,2.5832e-05,1.3779e-05,1.2451e-05,6.9491e-06,5.745e-06,4.4851e-06,3.8374e-06,3.017e-06,6.2717e-06,1.1234e-05
11,-7.2395e-07,,,,-3.9645e-06,,,,-1.3268e-06,,-1.7445e-06,-1.3445e-06,-1.194e-06,,,,,,,-8.0658e-07
