,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,496.56,495.21,495.21,499.34,503.06,497.42,498.28,498.28,500.95,504.36,502.9,502.9,502.9,500.57,502.73,502.73,502.46,501.77,501.77,499.73,503.18,503.18,499.84,499.84,499.84,501.56,500.67,499.22,501.44,501.44,500.98,500.74,500.74,500.74,501.26,501.26,501.26,501.26,501.18,500.7,501.22,501.22,500.82,500.82,500.82,500.4,500.4,500.4
1,-511.77,-504.61,-504.61,-509.16,-513.71,-506.66,-508.08,-508.08,-510.59,-513.5,-512.73,-512.73,-512.73,-510.19,-512.39,-512.39,-512.2,-511.6,-511.6,-509.33,-512.62,-512.62,-509.66,-509.66,-509.66,-511.44,-510.38,-509.15,-511.18,-511.18,-510.69,-510.54,-510.54,-510.54,-510.98,-510.98,-510.98,-510.98,-510.98,-510.39,-510.97,-510.97,-510.58,-510.58,-510.58,-510.21,-510.21,-510.21
2,-50.747,-51.99,-51.99,-52.327,-51.427,-52.846,-52.06,-52.06,-52.298,-52.87,-52.246,-52.246,-52.246,-52.46,-52.383,-52.383,-52.3,-52.238,-52.238,-52.302,-52.532,-52.532,-52.243,-52.243,-52.243,-52.168,-52.293,-52.145,-52.297,-52.297,-52.3,-52.243,-52.243,-52.243,-52.271,-52.271,-52.271,-52.271,-52.206,-52.279,-52.248,-52.248,-52.249,-52.249,-52.249,-52.222,-52.222,-52.222
3,-4.7297,-4.7631,-4.7631,-4.2849,-4.192,-4.3424,-4.5169,-4.5169,-4.4718,-4.3981,-4.3211,-4.3211,-4.3211,-4.3178,-4.3568,-4.3568,-4.3583,-4.3252,-4.3252,-4.4891,-4.4161,-4.4161,-4.3398,-4.3398,-4.3398,-4.3487,-4.403,-4.324,-4.3573,-4.3573,-4.375,-4.3606,-4.3606,-4.3606,-4.4034,-4.4034,-4.4034,-4.4034,-4.3818,-4.4202,-4.3898,-4.3898,-4.3877,-4.3877,-4.3877,-4.3675,-4.3675,-4.3675
4,-0.34664,-0.3728,-0.3728,-0.29508,-0.28322,-0.28295,-0.29838,-0.29838,-0.2663,-0.28656,-0.28837,-0.28837,-0.28837,-0.27697,-0.27419,-0.27419,-0.27158,-0.28122,-0.28122,-0.2852,-0.28266,-0.28266,-0.27959,-0.27959,-0.27959,-0.28098,-0.2784,-0.27557,-0.28249,-0.28249,-0.28663,-0.27785,-0.27785,-0.27785,-0.28291,-0.28291,-0.28291,-0.28291,-0.28406,-0.28901,-0.28464,-0.28464,-0.28241,-0.28241,-0.28241,-0.28172,-0.28172,-0.28172
5,1.7192,1.7424,1.7424,1.8277,1.7855,1.7611,1.7576,1.7576,1.7603,1.7801,1.7695,1.7695,1.7695,1.7712,1.7691,1.7691,1.7703,1.7706,1.7706,1.7701,1.7703,1.7703,1.7702,1.7702,1.7702,1.7701,1.7701,1.7703,1.7702,1.7702,1.7703,1.7701,1.7701,1.7701,1.7702,1.7702,1.7702,1.7702,1.77,1.7701,1.7701,1.7701,1.7702,1.7702,1.7702,1.7701,1.7701,1.7701
6,0.35903,0.45798,0.45798,0.48941,0.45379,0.44752,0.46173,0.46173,0.46085,0.4624,0.45483,0.45483,0.45483,0.46033,0.45995,0.45995,0.46101,0.4589,0.4589,0.45799,0.45841,0.45841,0.45882,0.45882,0.45882,0.45879,0.45901,0.4577,0.45934,0.45934,0.45709,0.45865,0.45865,0.45865,0.45822,0.45822,0.45822,0.45822,0.45919,0.45784,0.45831,0.45831,0.45776,0.45776,0.45776,0.4585,0.4585,0.4585
7,-0.26596,-0.05696,-0.05696,-0.67967,-0.31966,-0.7841,-0.82725,-0.82725,-0.59342,-0.39502,-0.55225,-0.55225,-0.55225,-0.74139,-0.90859,-0.90859,-0.8108,-1.0167,-1.0167,-0.86383,-0.87162,-0.87162,-0.94453,-0.94453,-0.94453,-0.93088,-0.93723,-0.8525,-0.88214,-0.88214,-0.80105,-0.91997,-0.91997,-0.91997,-0.90133,-0.90133,-0.90133,-0.90133,-0.90849,-0.87369,-0.89943,-0.89943,-0.8442,-0.8442,-0.8442,-0.91518,-0.91518,-0.91518
8,-0.012359,-0.13704,-0.13704,0.60614,0.26259,0.75421,0.78913,0.78913,0.56921,0.34188,0.53004,0.53004,0.53004,0.70654,0.88095,0.88095,0.78632,0.99007,0.99007,0.83935,0.84887,0.84887,0.92008,0.92008,0.92008,0.90532,0.91076,0.82978,0.85563,0.85563,0.77884,0.89441,0.89441,0.89441,0.87756,0.87756,0.87756,0.87756,0.88056,0.85064,0.87504,0.87504,0.82122,0.82122,0.82122,0.8908,0.8908,0.8908
9,0.17588,0.073649,0.073649,-0.033123,-0.041702,-0.1841,-0.17009,-0.17009,-0.15198,-0.15916,-0.18775,-0.18775,-0.18775,-0.15856,-0.20879,-0.20879,-0.046288,-0.15352,-0.15352,-0.17176,-0.26477,-0.26477,-0.23709,-0.23709,-0.23709,-0.24951,-0.16721,-0.21435,-0.21315,-0.21315,-0.17115,-0.23463,-0.23463,-0.23463,-0.25087,-0.25087,-0.25087,-0.25087,-0.17533,-0.21463,-0.17048,-0.17048,-0.1639,-0.1639,-0.1639,-0.21307,-0.21307,-0.21307
