,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,618.73,618.73,626.4,620.08,620.6,623.4,619.71,618.23,619.25,624.38,621.45,620.91,624.01,622.31,622.63,622.49,620.91,620.28,621.12,621.67,622.17,620.96,621.53,621.79,622.42,621.07,621.66,622.07,621.31,621.36,620.94,621.46,621.13,621.02,621.4,621.35,621.26
1,-623.12,-623.12,-631.53,-624.79,-627.46,-628.28,-625.56,-624.36,-624.98,-629.11,-626.84,-627.01,-629.41,-627.57,-628.22,-628.09,-626.67,-625.86,-626.68,-627.18,-627.92,-626.56,-627.29,-627.35,-628.05,-626.73,-627.33,-627.71,-627.09,-626.94,-626.57,-627.04,-626.73,-626.77,-626.99,-627.11,-626.96
2,-67.191,-67.191,-66.246,-66.392,-64.942,-66.363,-65.745,-65.561,-65.86,-66.728,-66.097,-65.564,-66.176,-66.283,-65.956,-66.049,-65.872,-66.012,-66.006,-66.058,-65.926,-66.033,-65.874,-66.053,-66.004,-65.943,-65.926,-65.983,-65.898,-66.033,-65.987,-66.03,-66.008,-65.879,-66.016,-65.879,-65.908
3,-7.5366,-7.5366,-7.9716,-8.3425,-7.6307,-8.1762,-7.8565,-7.7667,-7.8696,-7.9564,-7.9507,-7.7793,-7.8592,-7.8876,-7.8983,-7.8014,-7.8135,-7.8571,-7.8692,-7.8736,-7.7814,-7.8142,-7.8159,-7.8351,-7.8125,-7.8319,-7.851,-7.8245,-7.7717,-7.8288,-7.8329,-7.8344,-7.8385,-7.8175,-7.8417,-7.8111,-7.8402
4,-0.48423,-0.48423,-0.54996,-0.60246,-0.53149,-0.58619,-0.5582,-0.5483,-0.55214,-0.58745,-0.56423,-0.55445,-0.56223,-0.56683,-0.5611,-0.56204,-0.55694,-0.55743,-0.56159,-0.55741,-0.55442,-0.55529,-0.54948,-0.55586,-0.55333,-0.56194,-0.55826,-0.55829,-0.55533,-0.55938,-0.55648,-0.55803,-0.55897,-0.55732,-0.56007,-0.55601,-0.55918
5,2.0878,2.0878,2.134,2.1494,2.1132,2.1352,2.1298,2.1161,2.1284,2.1216,2.1282,2.1239,2.1186,2.123,2.123,2.1244,2.1244,2.1226,2.1227,2.123,2.1235,2.1232,2.1232,2.1233,2.1237,2.1234,2.1234,2.1232,2.1234,2.1232,2.1233,2.1232,2.1234,2.1234,2.1235,2.1234,2.1232
6,0.55703,0.55703,0.56387,0.56178,0.5371,0.5515,0.55068,0.54969,0.55208,0.55429,0.55493,0.55,0.55232,0.55044,0.55156,0.55081,0.55239,0.55099,0.55069,0.55094,0.55147,0.55197,0.55147,0.5514,0.55149,0.55118,0.55149,0.55166,0.55143,0.55139,0.55119,0.55137,0.5512,0.55123,0.55125,0.55123,0.55126
7,-0.038338,-0.038338,-0.033238,-0.029838,-0.034263,-0.040398,-0.038649,-0.041663,-0.039963,-0.041406,-0.040073,-0.039738,-0.039167,-0.039931,-0.03941,-0.039259,-0.04039,-0.039395,-0.038901,-0.039006,-0.040199,-0.040496,-0.040558,-0.040028,-0.040215,-0.039349,-0.039976,-0.040405,-0.040173,-0.040079,-0.039812,-0.039877,-0.039636,-0.039535,-0.039419,-0.039599,-0.03983
8,-0.00090255,-0.00090255,-0.0034674,-0.012069,-0.003112,-5.6045e-05,-0.00086642,0.0022311,0.0010107,0.00063081,0.00091339,0.00015397,-0.00016578,0.00050508,-0.00015552,-0.00043345,0.00032428,3.1179e-05,-0.00043699,-0.00058026,0.00042829,0.00054953,0.0010255,0.00079287,0.00035393,-0.00019072,0.0004385,0.00070175,0.00026813,0.00041727,0.00019556,0.00029647,7.3516e-06,-3.1822e-05,-0.00016885,3.3782e-05,0.00030095
9,0.0014369,0.0014369,0.0039757,0.0096229,0.003785,0.0034007,0.0038889,0.0030062,0.0031107,0.0035321,0.0033692,0.0036274,0.0036521,0.0034116,0.003687,0.0039148,0.003679,0.0037856,0.0038199,0.0038704,0.0036471,0.0036235,0.0034344,0.0035095,0.0038195,0.003794,0.0035903,0.0034756,0.0037246,0.0036225,0.0036237,0.003621,0.0036499,0.0037147,0.0036639,0.0036655,0.0035956
10,0.0010677,0.0010677,0.0005208,0.0010319,0.00156,0.0022408,0.0021957,0.0024302,0.0023568,0.0025777,0.0023104,0.0024461,0.0021544,0.0022829,0.0024043,0.002268,0.0025488,0.0021262,0.0021743,0.0022674,0.0023984,0.0024337,0.0023508,0.002273,0.0022781,0.0022847,0.0023156,0.0024163,0.0024115,0.0023401,0.0023691,0.0023432,0.0023917,0.0023449,0.0023806,0.0023595,0.002326
11,0.00010574,0.00010574,-1.701e-05,-2.4629e-05,-3.2538e-05,-7.3657e-05,-4.1485e-05,-1.4422e-05,-6.568e-05,-4.8493e-05,-6.4312e-05,-7.0068e-05,-6.1272e-05,-4.9613e-05,-7.1293e-05,-6.5045e-05,-5.3548e-05,-6.0582e-05,-6.3853e-05,-6.2388e-05,-6.7524e-05,-6.7731e-05,-6.9984e-05,-6.8789e-05,-6.6421e-05,-6.6006e-05,-6.8285e-05,-6.7261e-05,-7.1006e-05,-6.7751e-05,-6.9865e-05,-6.7992e-05,-6.818e-05,-7.0207e-05,-6.701e-05,-6.9402e-05,-6.6345e-05
12,5.9541e-05,5.9541e-05,1.0512e-05,6.9818e-06,2.7482e-06,1.8339e-05,8.7231e-06,5.6772e-06,7.1246e-06,5.942e-06,7.5143e-06,7.1186e-06,8.4985e-06,8.6652e-06,8.3551e-06,8.9072e-06,6.919e-06,8.1216e-06,8.995e-06,8.4327e-06,8.8936e-06,8.4603e-06,9.2919e-06,8.2987e-06,8.6358e-06,8.7339e-06,9.0406e-06,9.0781e-06,8.4543e-06,8.8653e-06,9.1789e-06,8.6374e-06,9.5109e-06,8.9407e-06,8.9475e-06,9.057e-06,8.9028e-06
13,-1.0417e-06,-1.0417e-06,1.9425e-05,,,9.9756e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,4.2195e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
