	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
0	Ti	1	hexagonal	0.57129228304947655	0.0167988569999995	0.01680385699999931	4.999999999810711e-06	3	hcp
1	Ti	1	hexagonal	0.71411535381184565	0.004875857000000039	0.004879856999998822	3.999999998782755e-06	4	hcp
2	Ti	1	hexagonal	1.999522990673168	0.01289285699999887	0.012893856999999898	1.0000000010279564e-06	5	hcp
3	Ti	1	hexagonal	2.8564614152473826	0.02251485699999911	0.022517856999998642	2.9999999995311555e-06	6	hcp
4	Ti	1	hexagonal	3.4277536982968591	0.007278856999999306	0.007281856999998837	2.9999999995311555e-06	7	hcp
5	Ti	1	hexagonal	6.4270381843066113	0.009309143000001185	0.009304142999999598	-5.000000001587068e-06	8	hcp
6	Ti	1	hexagonal	8.1409150334550411	0.0010218569999995708	0.0010268569999993815	4.999999999810711e-06	9	hcp
7	Ti	1	hexagonal	9.4263226703163632	0.0025608569999988617	0.0025628569999991413	2.000000000279556e-06	10	hcp
8	Ti	1	hexagonal	14.85359935928639	0.002104856999999072	0.0021078570000003793	3.0000000013075123e-06	11	hcp
9	Ti	1	hexagonal	17.710060774533773	0.0004478569999992743	0.0004468570000000227	-9.999999992515995e-07	12	hcp
10	Ti	1	hexagonal	19.99522990673168	0.0005461430000011092	0.00054214300000055	-4.000000000559112e-06	13	hcp
11	Ti	1	hexagonal	28.564614152473826	0.0004631430000010539	0.0004601429999997464	-3.0000000013075123e-06	14	hcp
12	Ti	1	hexagonal	32.849306275344901	0.0005218569999989597	0.0005248570000002672	3.0000000013075123e-06	15	hcp
13	Ti	1	hexagonal	36.419883044404131	0.00015614299999988646	0.0001541429999996069	-2.000000000279556e-06	16	hcp
14	Ti	1	hexagonal	40.704575167275202	7.585699999879125e-05	7.585699999879125e-05	0.0	17	hcp
15	Ti	1	hexagonal	54.844059172749745	0.00010785699999971143	0.00011185700000027055	4.000000000559112e-06	18	hcp
16	Ti	1	hexagonal	59.985689720195033	0.00018185699999939686	0.00018485699999892802	2.9999999995311555e-06	19	hcp
17	Ti	1	hexagonal	65.984258692214539	4.514300000124649e-05	4.214299999993898e-05	-3.0000000013075123e-06	20	hcp
18	Ti	1	hexagonal	84.979727103609633	7.514300000011076e-05	7.21430000005796e-05	-2.9999999995311555e-06	21	hcp
19	Ti	1	hexagonal	91.978057570965717	6.214300000095818e-05	5.914299999965067e-05	-3.0000000013075123e-06	22	hcp
20	Ti	2	hexagonal	1.1425845660989531	0.004875356999999525	0.004879856999998822	4.499999999296733e-06	4	hcp
21	Ti	2	hexagonal	2.8564614152473826	0.022517356999999905	0.02252085699999995	3.5000000000451337e-06	6	hcp
22	Ti	2	hexagonal	7.1411535381184565	0.004875643000000096	0.004870142999999771	-5.50000000032469e-06	8	hcp
23	Ti	2	hexagonal	10.283261094890578	0.00255985699999961	0.0025628569999991413	2.9999999995311555e-06	10	hcp
24	Ti	2	hexagonal	53.130182323601318	0.0006013569999989699	0.0006088569999995741	7.5000000006042455e-06	12	hcp
