,0,1,2,3,4,5,6,7,8,9
0,157.48,157.8,158.04,157.62,158.26,158.06,158.03,158.15,158.01,158.06
1,-159.24,-159.53,-159.79,-159.43,-160.01,-159.82,-159.8,-159.91,-159.78,-159.84
2,-8.9948,-9.1178,-9.0678,-9.0231,-9.0718,-9.0667,-9.0638,-9.0688,-9.0537,-9.0503
3,-0.031633,-0.031505,-0.031267,-0.031134,-0.031397,-0.031312,-0.031369,-0.03135,-0.031275,-0.031214
4,-5.7146e-06,-5.6269e-06,-5.6616e-06,-5.6598e-06,-5.67e-06,-5.6592e-06,-5.6892e-06,-5.6721e-06,-5.6673e-06,-5.6321e-06
5,0.44647,0.49645,0.47399,0.49391,0.48023,0.48902,0.48407,0.48648,0.48564,0.48563
6,0.010129,0.011631,0.010927,0.011438,0.011088,0.011101,0.01127,0.010997,0.011266,0.011026
7,0.0045543,0.0049701,0.0047994,0.0049435,0.0048389,0.0048804,0.0048831,0.004857,0.0048858,0.0048622
8,-1.4651e-05,-1.4119e-06,-1.0152e-05,-5.9017e-06,-8.8259e-06,-6.758e-06,-7.7754e-06,-8.2113e-06,-7.4923e-06,-8.6973e-06
9,-2.2276e-07,,-6.9537e-07,,,,,,,
