,0,1,2,3,4,5,6
0,27.214,29.015,28.372,28.437,28.655,28.436,28.619
1,-53.154,-55.07,-54.502,-54.589,-54.76,-54.594,-54.708
2,-4.8935,-4.8659,-4.7855,-4.7593,-4.8084,-4.756,-4.8238
3,-0.04456,-0.042933,-0.040777,-0.040603,-0.04152,-0.040568,-0.041568
4,-1.7637e-05,-1.6131e-05,-1.5344e-05,-1.5496e-05,-1.6045e-05,-1.557e-05,-1.5969e-05
5,3.7852,3.8783,3.8964,3.8942,3.897,3.897,3.8969
6,0.11628,0.19913,0.19626,0.19515,0.19342,0.19261,0.19281
7,0.032118,0.036903,0.034692,0.032422,0.032524,0.032838,0.032986
8,0.00019562,-0.00029598,8.1493e-05,0.0013448,0.001173,0.00093968,0.00084845
9,1.6499e-05,7.1487e-05,0.00017988,0.00023487,0.00018095,0.0002059,0.0001861
10,8.2762e-05,7.8936e-05,4.3356e-05,1.2657e-05,4.4415e-05,2.1616e-05,4.1221e-05
11,1.1652e-05,-1.4221e-07,4.8105e-06,3.1959e-06,1.2203e-05,1.1407e-05,1.087e-05
12,8.034e-08,,,,-1.4709e-06,-1.6119e-06,-1.5495e-06
