,0,1,2,3
0,73.673,74.023,74.532,74.382
1,-111.59,-111.68,-112.13,-111.99
2,-13.382,-13.606,-13.654,-13.649
3,-0.31106,-0.32655,-0.33311,-0.33495
4,-0.0012475,-0.0013198,-0.0013546,-0.0013642
5,6.5762,6.5066,6.5073,6.5062
6,0.38489,0.31924,0.31052,0.31362
7,0.047283,0.048365,0.050708,0.050829
8,0.011419,0.0037896,0.0018286,0.0019406
9,0.00030505,0.00012,-6.3199e-05,-7.4259e-05
10,0.0013602,0.00033414,0.00025007,0.00024968
11,7.1084e-05,9.4582e-06,2.0822e-05,2.0918e-05
12,0.00017935,,2.2755e-05,2.6149e-05
13,1.3719e-05,,-1.5308e-06,-2.0006e-06
14,2.9694e-06,,,
