,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,24.954,23.508,23.554,24.242,23.785,24.114,24.101,24.178,24.254,24.098,24.361,24.054,24.156,24.152,24.083,24.089
1,-28.759,-27.402,-27.463,-28.121,-27.664,-27.977,-27.967,-28.044,-28.114,-27.96,-28.217,-27.919,-28.017,-28.017,-27.946,-27.955
2,-0.76672,-0.68905,-0.67666,-0.70478,-0.70301,-0.72005,-0.71726,-0.71806,-0.72249,-0.72074,-0.72749,-0.71827,-0.72197,-0.71816,-0.71959,-0.7174
3,-0.00038647,-0.00028263,-0.00028052,-0.00031041,-0.00030725,-0.0003189,-0.00032081,-0.00032593,-0.00032674,-0.00032354,-0.00032891,-0.00032545,-0.00032495,-0.0003216,-0.00032784,-0.00032315
4,-1.2158e-09,-1.6305e-09,-1.078e-09,-1.4454e-09,-1.251e-09,-1.7053e-09,-1.2735e-09,-8.3423e-10,-1.3613e-09,-1.281e-09,-1.1437e-09,-9.7339e-10,-8.8244e-10,-1.4513e-09,-1.6446e-09,-1.1496e-09
5,0.52404,0.50688,0.52006,0.51593,0.5175,0.51863,0.51867,0.51953,0.51798,0.51838,0.51867,0.51899,0.51903,0.51915,0.51947,0.51939
6,0.33013,0.34006,0.33587,0.33567,0.33146,0.33194,0.33244,0.33171,0.33254,0.33226,0.33219,0.33183,0.33158,0.33142,0.33114,0.33125
7,0.012643,0.010249,0.011457,0.010715,0.010982,0.011556,0.011682,0.011674,0.011656,0.011647,0.01154,0.011523,0.01153,0.011521,0.011586,0.01159
8,0.0012294,0.0021631,0.001578,0.0019273,0.0018221,0.0015855,0.0015103,0.0015266,0.0015241,0.0015322,0.001555,0.0015631,0.0015655,0.0015743,0.0015455,0.0015471
9,5.3631e-07,4.2269e-06,6.8635e-06,4.611e-06,2.4724e-06,4.6055e-07,8.8788e-07,5.7007e-07,1.3695e-06,1.2654e-06,2.6891e-06,2.4339e-06,2.1071e-06,1.4897e-06,1.4942e-06,1.3059e-06
