,0,1,2,3,4
0,52.525,53.371,53.46,53.042,53.126
1,-113.22,-113.84,-113.82,-113.43,-113.51
2,-9.9196,-10.367,-10.466,-10.449,-10.455
3,-0.1288,-0.1368,-0.1351,-0.13519,-0.13483
4,-9.3387e-05,-0.00010023,-9.8685e-05,-9.8848e-05,-9.852e-05
5,7.8658,7.9429,7.9596,7.9668,7.9653
6,0.90736,0.93679,0.93436,0.93206,0.92996
7,0.033021,0.034742,0.03045,0.02859,0.028606
8,0.018565,0.016543,0.02178,0.023217,0.022955
9,-0.00032286,-6.4303e-05,0.0011064,0.0012347,0.00076804
10,0.00035361,0.00035325,0.00010404,0.00025909,0.000769
11,0.00022101,3.8936e-05,7.4707e-05,4.6982e-05,3.623e-05
12,3.3936e-05,2.404e-05,3.814e-06,1.364e-05,2.7323e-05
13,1.0733e-06,6.2161e-07,,-1.7483e-06,5.3655e-07
