,0,1,2,3,4,5,6,7,8,9
0,51.073,51.154,50.196,51.053,50.122,50.045,50.212,50.506,50.379,50.416
1,-82.901,-83.172,-82.371,-83.113,-82.317,-82.221,-82.317,-82.51,-82.472,-82.511
2,-9.2684,-9.0694,-8.9191,-9.0566,-8.9206,-8.947,-9.0152,-9.1115,-9.0271,-9.0231
3,-0.15896,-0.15556,-0.1502,-0.15328,-0.15028,-0.15023,-0.15387,-0.15627,-0.15232,-0.15377
4,-0.00029178,-0.00028676,-0.00027485,-0.0002888,-0.0002767,-0.00027941,-0.00028762,-0.00029212,-0.00028406,-0.00028703
5,5.6028,5.2671,5.1428,5.194,5.1895,5.199,5.1973,5.1982,5.1985,5.1991
6,0.24374,0.23296,0.26393,0.25909,0.26396,0.25793,0.26044,0.25635,0.25624,0.25599
7,0.015009,0.046066,0.047905,0.041952,0.038055,0.041623,0.041685,0.041786,0.042494,0.042217
8,0.026672,-0.00052076,4.3471e-05,0.0012716,0.0054459,0.0018803,0.001916,0.0016641,0.0011658,0.0013518
9,0.00030382,3.7618e-05,4.2436e-06,4.4748e-05,-5.1308e-06,0.00012862,5.7228e-05,0.0001455,5.4442e-05,0.00018464
10,0.00094946,0.00024763,,0.00015874,0.00017521,6.2356e-05,0.00014295,4.7801e-05,0.00016769,2.8404e-05
11,0.00030025,3.4887e-06,,1.8433e-05,6.7561e-06,2.7275e-05,2.6327e-05,2.8891e-05,3.0217e-05,2.8251e-05
12,0.00036168,,,6.592e-06,,-1.074e-06,4.2537e-06,-2.6748e-07,-8.3958e-08,-9.8418e-07
13,-3.1257e-06,,,,,,,,,
