,0,1,2,3,4
0,410.04,402.75,404.48,404.43,404.51
1,-419.87,-413.31,-415.0,-414.84,-414.96
2,-41.154,-40.429,-40.452,-40.568,-40.531
3,-2.2668,-2.2593,-2.2816,-2.2841,-2.2679
4,-0.086852,-0.088227,-0.08665,-0.084874,-0.08891
5,1.4483,1.4027,1.4079,1.4101,1.4101
6,0.40657,0.38272,0.37909,0.37934,0.37959
7,-0.026232,-0.024499,-0.024591,-0.024888,-0.024934
8,-0.0023076,0.0023822,0.0025248,0.0028415,0.0028258
9,0.0051398,0.0017112,0.00075144,0.00015445,0.00094671
10,0.00017183,-1.1755e-06,0.00039873,0.00084016,0.00032042
11,0.00012542,3.7015e-06,-2.4202e-07,-9.9487e-06,5.2894e-07
12,9.584e-06,,-5.988e-07,-1.6648e-07,-3.0699e-07
