,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,183.79,181.72,184.19,181.75,183.7,182.8,182.98,182.89,182.87,183.15,183.1,183.22,183.13,183.35,183.0,183.08,182.76,182.68,182.86,182.85
1,-183.56,-181.41,-184.01,-181.66,-183.37,-182.62,-182.74,-182.62,-182.6,-182.93,-182.84,-182.96,-182.86,-183.04,-182.74,-182.85,-182.55,-182.45,-182.63,-182.58
2,-7.3892,-7.383,-7.2936,-7.206,-7.4343,-7.3142,-7.3584,-7.3893,-7.3789,-7.334,-7.3764,-7.3689,-7.3729,-7.4157,-7.3601,-7.3449,-7.3241,-7.3288,-7.3365,-7.3717
3,-0.071119,-0.07062,-0.070233,-0.06981,-0.071797,-0.070494,-0.071013,-0.071682,-0.071772,-0.070874,-0.071473,-0.071284,-0.07129,-0.071727,-0.071081,-0.070855,-0.070574,-0.070727,-0.07084,-0.071295
4,-0.0005904,-0.00058907,-0.00058599,-0.0005823,-0.00059465,-0.00058976,-0.00059575,-0.00059481,-0.0005952,-0.00059156,-0.00059262,-0.00059516,-0.00059162,-0.00059706,-0.00059386,-0.00059001,-0.00058896,-0.00059008,-0.00059083,-0.00059306
5,-0.0062216,-0.0063512,-0.0061675,-0.0061933,-0.0061918,-0.0061759,-0.0062027,-0.0061912,-0.0062003,-0.0062092,-0.0062049,-0.0062121,-0.0062143,-0.0062084,-0.006206,-0.0062043,-0.0062103,-0.0062282,-0.0062073,-0.0062095
6,-0.0045351,-0.0045993,-0.0044696,-0.0044834,-0.0044832,-0.0044805,-0.0044921,-0.0044857,-0.004491,-0.0044988,-0.0044942,-0.0045049,-0.0045023,-0.0044982,-0.0044964,-0.0044981,-0.0044999,-0.0045161,-0.0045002,-0.0045008
7,2.9911e-05,2.9144e-05,2.8735e-05,2.9361e-05,2.9294e-05,2.9788e-05,2.9658e-05,2.9169e-05,2.9603e-05,2.9537e-05,2.9546e-05,3.0573e-05,2.9753e-05,2.9786e-05,2.974e-05,3.0288e-05,2.9805e-05,2.9669e-05,3.021e-05,2.9975e-05
8,-1.095e-05,-1.1271e-05,-1.102e-05,-1.1005e-05,-1.1035e-05,-1.0968e-05,-1.0942e-05,-1.1034e-05,-1.0936e-05,-1.0994e-05,-1.0946e-05,-1.0844e-05,-1.0962e-05,-1.0928e-05,-1.0928e-05,-1.0878e-05,-1.0947e-05,-1.0996e-05,-1.0884e-05,-1.0914e-05
9,3.3398e-06,3.3074e-06,3.5085e-06,3.3896e-06,3.4364e-06,3.4655e-06,3.4294e-06,3.3845e-06,3.4385e-06,3.4161e-06,3.4239e-06,3.5882e-06,3.4318e-06,3.4395e-06,3.436e-06,3.6015e-06,3.4352e-06,3.497e-06,3.5251e-06,3.4409e-06
