,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,620.72,621.09,619.17,622.73,621.19,623.6,620.6,621.37,621.57,621.69,621.86,621.38,622.33,621.97,621.88,621.94,622.39,621.92,621.73,621.98
1,-626.13,-626.71,-624.88,-627.8,-626.49,-628.69,-625.71,-626.43,-626.64,-626.91,-627.06,-626.63,-627.5,-627.18,-627.19,-627.13,-627.57,-627.17,-626.98,-627.18
2,-32.087,-31.742,-31.704,-32.326,-32.142,-32.306,-32.302,-32.376,-32.366,-32.215,-32.216,-32.181,-32.246,-32.221,-32.117,-32.232,-32.247,-32.183,-32.179,-32.227
3,-0.56283,-0.54948,-0.56056,-0.56055,-0.56065,-0.56481,-0.56874,-0.5686,-0.56907,-0.56296,-0.5651,-0.56406,-0.56701,-0.56459,-0.56275,-0.5657,-0.5653,-0.56419,-0.56311,-0.56482
4,-0.016066,-0.016038,-0.016398,-0.016163,-0.016113,-0.016259,-0.016512,-0.016305,-0.016334,-0.016182,-0.016432,-0.016247,-0.016396,-0.016243,-0.016226,-0.016269,-0.016263,-0.01623,-0.016213,-0.016211
5,1.6539,1.6918,1.7446,1.7183,1.7022,1.7333,1.706,1.7216,1.7138,1.7144,1.7397,1.71,1.7145,1.7145,1.713,1.7132,1.7206,1.7131,1.713,1.7136
6,0.026877,0.027196,0.024792,0.023654,0.024813,0.024028,0.024228,0.025161,0.024737,0.024783,0.024815,0.024393,0.024075,0.024607,0.024542,0.024286,0.024376,0.024358,0.024298,0.02453
7,0.016751,0.017082,0.017243,0.016856,0.016777,0.017093,0.016881,0.017013,0.016955,0.016941,0.017231,0.016926,0.016872,0.016953,0.016945,0.016922,0.016976,0.016933,0.016933,0.016933
8,-4.0355e-05,-6.3884e-05,-0.00016954,-0.00068675,-0.00019949,-0.00072223,0.00010524,-0.0002563,4.6187e-06,9.2698e-05,0.00010316,0.00011503,-0.00023142,-3.0346e-05,3.9599e-06,9.0108e-05,5.4107e-05,0.00015216,4.7397e-05,0.00013067
9,0.00027465,0.00016444,0.00030921,0.00082307,0.00040027,0.00090566,2.5091e-05,0.00042558,0.00014805,6.485e-05,2.4271e-05,3.2798e-05,0.00038947,0.00017679,0.0001436,5.4289e-05,8.143e-05,-1.2197e-06,0.00010137,9.4697e-06
10,2.0977e-05,-2.3411e-06,3.5509e-05,4.7217e-05,1.3244e-06,1.4098e-05,8.9802e-06,8.5894e-07,6.3186e-07,4.9076e-06,2.2628e-06,5.6702e-07,2.2487e-06,4.5966e-06,2.394e-06,4.3964e-06,2.8387e-06,,2.2496e-06,5.7423e-06
11,4.346e-05,1.1859e-05,6.347e-06,1.74e-05,1.9694e-05,-1.6048e-06,2.0126e-05,2.3094e-05,,,,,1.9736e-05,,,,,,,
12,5.3025e-06,7.6012e-06,,-1.6872e-06,4.9188e-06,,4.9841e-06,3.6157e-06,,,,,4.3015e-06,,,,,,,
