,0,1,2,3,4,5,6,7,8
0,238.11,235.34,235.41,233.15,232.21,234.42,234.76,232.64,234.18
1,-295.57,-293.22,-294.18,-292.13,-290.91,-293.24,-293.76,-291.58,-293.16
2,-20.079,-20.352,-19.57,-19.481,-19.777,-19.693,-19.489,-19.544,-19.511
3,-0.3441,-0.33563,-0.33014,-0.32398,-0.33123,-0.33143,-0.3293,-0.32656,-0.32905
4,-0.010343,-0.011047,-0.010688,-0.009872,-0.010317,-0.011071,-0.0097636,-0.010328,-0.010987
5,3.5793,3.3603,3.3363,3.2713,3.2736,3.3527,3.3049,3.3199,3.2859
6,1.1382,1.0582,1.0963,1.0697,1.0919,1.1004,1.0774,1.0619,1.0693
7,0.017493,0.013311,0.010593,0.012613,0.013939,0.011362,0.014355,0.013164,0.013988
8,0.0016469,0.0036093,0.0045911,0.0021519,0.0016666,0.0029011,0.001292,0.0015886,0.0014332
9,-4.6126e-05,-5.254e-05,-3.7429e-05,-7.4258e-05,-4.6084e-05,-9.6175e-05,-7.2633e-05,-8.3361e-05,-8.3846e-05
10,-6.7117e-06,-2.0813e-05,-9.0306e-06,-2.9804e-05,-3.5372e-05,-1.5412e-05,-1.763e-05,-1.3291e-05,-8.5642e-06
11,,-1.5673e-06,,5.075e-06,7.6478e-07,3.1115e-06,2.1042e-06,4.6952e-06,
