,0,1,2,3,4,5,6,7,8
0,2.427,3.1554,3.2879,2.5409,2.7014,2.9228,2.6229,2.979,2.6324
1,-19.235,-19.858,-19.989,-19.334,-19.536,-19.735,-19.517,-19.863,-19.431
2,-0.91061,-0.92693,-0.9313,-0.90508,-0.90245,-0.92858,-0.91816,-0.92809,-0.91705
3,-0.0011113,-0.0011686,-0.0011515,-0.0011243,-0.0010748,-0.0011364,-0.0011151,-0.0011249,-0.0011325
4,-1.8851e-08,-1.6256e-08,-1.9454e-08,-1.8687e-08,-1.6339e-08,-1.9926e-08,-1.8466e-08,-1.9405e-08,-1.8858e-08
5,1.9299,1.9872,1.9382,1.9566,1.9929,1.9907,1.9608,1.9608,1.9565
6,0.24344,0.21694,0.22175,0.23922,0.23957,0.24499,0.24204,0.24204,0.23743
7,0.015278,0.013175,0.013792,0.013992,0.014009,0.01239,0.014974,0.014974,0.012579
8,0.0011669,0.0017773,0.00066943,0.0021134,0.0023891,0.0050608,0.0015593,0.001559,0.003731
9,5.3955e-05,-0.00019317,6.0949e-05,0.00012319,0.00025513,1.1878e-05,6.677e-05,6.7056e-05,0.00011724
10,7.6623e-07,0.0001796,1.1758e-06,3.728e-06,3.5531e-06,-1.0798e-07,3.8011e-07,4.6737e-08,-1.8019e-08
11,,1.0089e-05,,,,,,,
12,,7.2642e-06,,,,,,,
