,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,10.223,8.9276,9.1978,9.054,9.4805,9.1371,9.1063,9.1077,9.1013,8.9995,8.9436,9.0725,9.2287,9.0286,9.1177,9.0289,9.0664,9.1352,9.1382,9.0995
1,-29.344,-28.014,-28.354,-28.19,-28.627,-28.271,-28.256,-28.264,-28.237,-28.168,-28.105,-28.239,-28.376,-28.18,-28.265,-28.199,-28.235,-28.291,-28.293,-28.257
2,-1.5728,-1.5693,-1.4623,-1.4885,-1.5017,-1.4971,-1.4666,-1.4757,-1.5022,-1.464,-1.4715,-1.4659,-1.4858,-1.4806,-1.4854,-1.4628,-1.4657,-1.4768,-1.4781,-1.475
3,-0.0039982,-0.0039604,-0.0034001,-0.0035481,-0.0036036,-0.0036373,-0.0034716,-0.0034325,-0.0035554,-0.0034451,-0.0034503,-0.0034297,-0.0035268,-0.0035396,-0.0035523,-0.0033869,-0.0034194,-0.0035084,-0.0034838,-0.0034906
4,-1.5755e-07,-1.6112e-07,-1.209e-07,-1.292e-07,-1.382e-07,-1.3282e-07,-1.3121e-07,-1.239e-07,-1.2764e-07,-1.2787e-07,-1.2424e-07,-1.2615e-07,-1.2915e-07,-1.3296e-07,-1.3038e-07,-1.2364e-07,-1.2632e-07,-1.3005e-07,-1.2709e-07,-1.2941e-07
5,2.8417,2.578,2.5699,2.5845,2.6211,2.5975,2.5847,2.6011,2.5994,2.5977,2.598,2.5966,2.5956,2.5978,2.5982,2.5979,2.5967,2.5978,2.5963,2.5975
6,0.13884,0.16083,0.13285,0.12638,0.12426,0.12521,0.13008,0.12787,0.13046,0.12866,0.12895,0.13055,0.12936,0.12812,0.12925,0.12887,0.12855,0.12925,0.13018,0.12929
7,0.0151,0.026693,0.02459,0.023253,0.02254,0.020212,0.022161,0.020863,0.021559,0.02132,0.021635,0.022188,0.022276,0.021724,0.021743,0.021449,0.022051,0.021375,0.022077,0.021752
8,0.012365,4.9354e-05,8.7986e-05,-0.00028055,-2.3944e-05,0.0013906,0.00045668,0.0010427,0.00073642,0.00093289,0.0007565,0.00041947,0.00031534,0.00066879,0.00067401,0.0008776,0.00044656,0.00092079,0.00048691,0.00066671
9,0.00012588,7.1109e-05,6.4818e-05,0.00019485,0.00014822,0.00016978,0.00014074,0.00015515,0.00015494,0.00016018,0.00016712,0.00018216,0.00015843,0.00016485,0.00017266,0.00016722,0.00016493,0.00016915,0.00017093,0.0001727
10,2.1974e-05,3.564e-06,5.5717e-06,3.0411e-06,1.4819e-05,1.059e-05,4.2319e-06,6.457e-06,2.9922e-06,4.8213e-06,3.6667e-06,4.1973e-06,2.5842e-06,3.4368e-06,2.7074e-06,4.0629e-06,2.1423e-06,5.7159e-06,2.6868e-06,2.5388e-06
11,8.1782e-05,,,,2.1656e-07,8.1818e-07,,,,,,,,,,,,,,
12,2.8309e-06,,,,,,,,,,,,,,,,,,,
