,0,1,2,3,4,5,6
0,473.5,472.6,473.6,472.38,470.97,471.46,471.61
1,-431.96,-431.51,-432.2,-431.52,-430.52,-430.88,-430.9
2,-66.776,-66.744,-67.066,-66.55,-66.159,-66.293,-66.411
3,-1.835,-1.7993,-1.8277,-1.7988,-1.7786,-1.7848,-1.7883
4,-0.0042746,-0.0041587,-0.0043082,-0.0041661,-0.0040989,-0.0041273,-0.0041215
5,3.2409,3.1826,3.1341,3.1304,3.1445,3.1468,3.1455
6,1.8216,1.9122,1.9722,1.972,1.9631,1.964,1.9661
7,0.065913,0.068879,0.058978,0.060427,0.061951,0.062985,0.062709
8,0.0087846,0.0071529,0.011497,0.011037,0.010296,0.0098242,0.0099598
9,-5.5479e-05,-7.8895e-05,-3.3352e-05,-5.1996e-05,-5.3311e-05,-5.4378e-05,-5.4187e-05
10,1.0843e-06,3.2337e-06,1.1292e-07,2.0014e-06,1.2979e-06,1.298e-06,1.4615e-06
