,0,1,2,3,4
0,639.32,640.8,640.98,640.99,640.89
1,-586.01,-586.91,-587.21,-587.18,-587.16
2,-86.852,-87.65,-87.535,-87.591,-87.518
3,-2.8499,-2.8768,-2.8837,-2.876,-2.8725
4,-0.0085543,-0.0087861,-0.0087976,-0.0086937,-0.0087428
5,4.1459,4.2249,4.228,4.2454,4.246
6,2.654,2.5714,2.5786,2.5701,2.5724
7,0.072096,0.077157,0.075991,0.078305,0.079397
8,0.018222,0.015217,0.015826,0.014773,0.014305
9,-5.6775e-05,-8.4895e-05,-7.8613e-05,-9.4753e-05,-9.2184e-05
10,-2.7501e-05,-1.1686e-05,-1.5771e-05,-2.285e-06,-5.9107e-06
11,1.7212e-06,1.651e-06,3.2517e-06,,
