,0,1,2,3
0,75.13,74.079,74.41,74.408
1,-112.6,-111.75,-112.03,-112.05
2,-13.757,-13.581,-13.632,-13.618
3,-0.32748,-0.32916,-0.33288,-0.32985
4,-0.001337,-0.0013481,-0.0013573,-0.0013444
5,6.4968,6.5037,6.507,6.5074
6,0.2875,0.31653,0.3142,0.31337
7,0.050484,0.047273,0.050051,0.050664
8,0.00032834,0.0044571,0.0024357,0.0019957
9,2.938e-05,0.00011657,7.4506e-05,-3.549e-05
10,0.00020991,0.00034537,0.0001597,0.0002234
11,4.9727e-05,1.82e-05,1.1797e-05,1.5499e-05
12,3.6639e-05,2.2268e-05,2.2381e-05,2.4339e-05
13,-2.9217e-06,-1.9854e-06,-1.8757e-06,-1.9523e-06
