,0,1,2,3,4,5,6,7,8,9
0,75.723,73.499,73.875,73.642,73.965,73.839,73.446,73.852,73.712,73.898
1,-126.25,-124.24,-124.58,-124.37,-124.7,-124.59,-124.19,-124.6,-124.47,-124.64
2,-4.2098,-4.0306,-4.0616,-4.0436,-4.0429,-4.0296,-4.028,-4.0317,-4.0245,-4.0341
3,-0.008226,-0.0077959,-0.0078975,-0.0078043,-0.0078169,-0.0077488,-0.0077735,-0.0077616,-0.0077255,-0.007772
4,-2.9604e-06,-3.0154e-06,-2.9962e-06,-2.9751e-06,-2.9847e-06,-2.9554e-06,-2.968e-06,-2.9558e-06,-2.9322e-06,-2.9607e-06
5,1.918,1.9534,1.9667,1.9688,1.9722,1.9701,1.9702,1.9694,1.9691,1.9697
6,0.71808,0.7709,0.78641,0.77361,0.77154,0.77158,0.76978,0.77188,0.77241,0.77199
7,0.0050046,0.0040423,0.0024607,-0.00032882,-0.00055224,0.0013902,0.0018562,0.001423,0.0013435,0.0012809
8,-3.2541e-05,0.00019042,0.0011994,0.0041075,0.0044106,0.0022926,0.0018016,0.0022486,0.0023027,0.0023968
9,-4.4547e-06,-1.8315e-05,-4.1215e-06,-2.1875e-05,-2.5502e-05,-5.7786e-06,-5.6389e-06,-5.2467e-06,-3.3743e-06,-5.9121e-06
10,,1.0761e-06,,3.8736e-06,5.1443e-06,1.5969e-06,,2.0329e-06,1.9624e-06,1.9088e-06
